same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
203_16,166_19,6,0, fk6,02-22 21:13:15,02-22 21:14:15,none,none,none,none,0.0,02-22 21:27:57,13,N306173630,SWARMSUSDT,long,forceOut,,34.69,0.0496,42.12,0.0602,-3.72,-0.0053,0.35,0,104.91,34.13,0,0,0,0,0,0
203_16,154_20,6,0, fk6,02-22 21:13:15,02-22 21:14:15,none,none,none,none,0.0,02-22 21:30:25,16,N183109738,ANIMEUSDT,long,forceOut,,32.18,0.046,40.23,0.0575,-2.68,-0.0038,0.35,0,94.06,65.75,0,0,0,0,0,0
166_19,94_46,7,0, fk6,02-22 21:26:56,02-22 21:27:06,none,none,none,none,0.0,02-22 22:18:07,51,N193281140,ZEREBROUSDT,long,forceOut,,31.07,0.0444,36.55,0.0522,-14.62,-0.0209,0.35,0,85.19,96.26,0,0,0,0,0,0
67_65,81_59,5,1, fk6,02-22 22:04:55,02-22 22:05:05,none,none,none,none,0.0,02-22 22:26:12,21,N512822548,1000RATSUSDT,short,forceOut,,30.12,0.045,35.41,0.0533,-9.27,-0.0131,0.35,0,97.78,125.82,0,0,0,0,0,0
203_16,59_79,6,0, fk6,02-22 21:13:15,02-22 21:14:15,none,none,none,none,0.0,02-22 22:46:59,92,N546669858,ARCUSDT,long,forceOut,,31.12,0.0445,36.29,0.0518,-17.4,-0.0249,0.35,0,125.5,120.4,0,1,0,0,0,0
50_28,45_128,3,0, fk6,02-22 21:43:08,02-22 21:43:18,none,none,none,none,0.0,02-22 23:03:25,80,N425945236,SWARMSUSDT,long,forceOut,,27.33,0.039,35.65,0.0509,-10.7,-0.0153,0.35,0,125.27,147.17,0,1,0,0,0,0
55_28,45_128,4,0, fk6,02-22 21:45:40,02-22 21:45:50,none,none,none,none,0.0,02-22 23:04:47,78,N603234581,ANIMEUSDT,long,forceOut,,33.46,0.0478,41.18,0.0588,-7.72,-0.011,0.35,0,115.19,180.07,0,1,0,0,0,0
216_13,57_63,8,0, fk6,02-22 21:16:48,02-22 21:16:58,none,none,none,none,0.0,02-22 23:17:25,120,N537816654,AVAAIUSDT,long,forceOut,,30.73,0.0439,36.4,0.052,-25.21,-0.036,0.35,0,184.39,210.24,0,1,0,0,0,0
203_16,53_64,6,0, fk6,02-22 21:13:15,02-22 21:14:15,none,none,none,none,0.0,02-22 23:25:05,130,N776884247,FARTCOINUSDT,long,forceOut,,31.28,0.0447,36.81,0.0526,-13.16,-0.0188,0.35,0,181.99,204.19,0,2,0,0,0,0
57_63,57_28,7,3, fk6,02-22 23:17:30,02-22 23:17:40,none,none,none,none,0.0,02-22 23:27:47,10,N632011170,BANUSDT,long,forceOut,,34.86,0.0498,40.98,0.0585,-6.59,-0.0094,0.35,0,172.4,238.49,0,2,0,0,0,0
50_75,71_49,1,3, fk6,02-22 22:26:58,02-22 22:27:08,none,none,none,none,0.0,02-22 23:36:18,69,N654279110,SUSDT,short,forceOut,,36.79,0.0555,42.97,0.0654,-3.17,-0.0045,0.35,0,184.79,238.79,0,3,0,0,0,0
61_90,92_34,4,2, fk6,02-22 23:33:24,02-22 23:33:34,none,none,none,none,0.0,02-22 23:49:19,15,N148369718,PNUTUSDT,long,forceOut,,32.21,0.046,37.89,0.0541,-1.52,-0.0022,0.35,0,163.56,270.44,0,3,0,0,0,0
121_10,154_8,6,1, fk6,02-22 23:49:24,02-22 23:49:34,none,none,none,none,0.0,02-23 00:16:53,27,N177635877,BANUSDT,long,forceOut,,36.99,0.0528,41.67,0.0595,-21.54,-0.0308,0.35,0,232.29,233.5,0,6,0,0,0,0
149_8,149_8,17,0, fk6,02-23 00:17:53,02-23 00:18:03,none,none,none,none,0.0,02-23 00:19:13,1,N951228774,TSTUSDT,long,forceOut,,31.3,0.0447,37.3,0.0533,-1.33,-0.0019,0.35,0,219.45,226.8,0,6,0,0,0,0
154_8,252_10,12,0, fk6,02-23 00:17:01,02-23 00:17:11,none,none,none,none,0.0,02-23 00:36:48,19,N375311322,PNUTUSDT,long,forceOut,,32.05,0.0458,36.47,0.0521,-14.12,-0.0202,0.35,0,355.67,221.35,0,7,0,0,0,0
261_11,267_13,17,0, fk6,02-23 00:37:48,02-23 00:37:58,none,none,none,none,0.0,02-23 00:43:15,5,N554258137,BANUSDT,long,forceOut,,31.32,0.0447,37.49,0.0536,-7.06,-0.0101,0.35,0,333.76,252.11,0,7,0,0,0,0
259_12,240_12,15,0, fk6,02-23 00:44:15,02-23 00:44:25,none,none,none,none,0.0,02-23 00:48:10,3,N732765510,TSTUSDT,long,forceOut,,32.8,0.0469,37.49,0.0536,-4.69,-0.0067,0.35,0,284.89,284.35,0,7,0,0,0,0
53_48,257_11,6,3, fk6,02-22 23:22:29,02-22 23:22:39,none,none,none,none,0.0,02-23 01:14:02,111,N951569650,SWARMSUSDT,long,forceOut,,33.28,0.0475,37.87,0.0541,-22.95,-0.0328,0.35,0,265.4,280.77,0,8,0,0,0,0
