SLstatus,same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
0,0_0,0_0,1,4, fk,04-24 13:38:02,04-24 13:38:12,none,none,none,none,0.00,04-24 16:38:26,180,N607054969,IMXUSDT,short,stopEarn,,12.06,0.0175,16.12,0.0236,-7.14,-0.0101,0.35,0,-27.20,11.50,0,0,0,0,0,0
0,0_0,0_0,3,1, fk,04-24 14:24:06,04-24 14:24:16,none,none,none,none,0.00,04-24 16:42:33,138,N481182892,GLMUSDT,long,stopLoss,,-21.46,-0.0307,11.45,0.0164,-21.46,-0.0307,0.35,0,-27.28,-10.52,0,1,0,0,0,0
0,0_0,0_0,2,1, fk,04-24 13:12:44,04-24 13:13:35,none,none,none,none,0.00,04-24 16:47:07,213,N547770450,GASUSDT,long,stopLoss,,-21.06,-0.0301,4.05,0.0058,-21.06,-0.0301,0.35,0,-20.88,-32.14,0,2,0,0,0,0
0,0_0,0_0,1,137, fk,04-24 15:46:34,04-24 15:46:44,none,none,none,none,0.00,04-24 16:50:53,64,N502840728,MOVEUSDT,short,stopEarn,,13.21,0.0192,17.82,0.0261,-2.77,-0.0039,0.35,0,-19.87,-19.49,0,2,0,0,0,0
0,0_0,0_0,1,194, fk,04-24 16:30:46,04-24 16:30:56,none,none,none,none,0.00,04-24 17:10:56,40,N526668161,DEEPUSDT,short,stopEarn,,3.70,0.0053,16.78,0.0246,-5.22,-0.0074,0.35,0,-48.03,-16.35,0,2,0,0,0,0
0,0_0,0_0,2,3, fk,04-24 13:40:02,04-24 13:40:12,none,none,none,none,0.00,04-24 18:38:53,298,N375527260,NKNUSDT,long,stopEarn,,24.15,0.0345,33.61,0.0480,-32.60,-0.0466,0.35,0,-48.24,7.24,0,2,0,0,0,0
0,0_0,0_0,4,7, fk,04-24 14:46:24,04-24 14:46:34,none,none,none,none,0.00,04-24 18:44:18,237,N490945652,BERAUSDT,short,stopLoss,,-21.27,-0.0295,9.82,0.0142,-21.27,-0.0295,0.35,0,-73.13,-14.59,0,3,0,0,0,0
0,0_0,0_0,1,194, fk,04-24 16:32:17,04-24 16:32:27,none,none,none,none,0.00,04-24 21:30:24,297,N526577893,ATAUSDT,short,stopLoss,,-21.36,-0.0296,2.37,0.0034,-21.36,-0.0296,0.35,0,-133.42,-36.51,0,4,0,0,0,0
0,0_0,0_0,0,187, fk,04-24 16:36:18,04-24 16:36:29,none,none,none,none,0.00,04-24 21:30:34,294,N167462754,LPTUSDT,short,stopLoss,,-21.10,-0.0293,4.74,0.0068,-21.10,-0.0293,0.35,0,-136.07,-58.17,0,5,0,0,0,0
0,0_0,0_0,3,201, fk,04-24 16:52:55,04-24 16:53:07,none,none,none,none,0.00,04-24 21:35:34,282,N864802240,REZUSDT,short,stopLoss,,-21.23,-0.0294,2.72,0.0039,-21.23,-0.0294,0.35,0,-144.76,-79.96,0,6,0,0,0,0
