same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
0_0,0_0,18,0, fk4,04-07 22:15:35,04-07 22:15:45,none,none,none,none,0.00,04-07 22:38:53,23,N305287868,FARTCOINUSDT,long,stopLoss,,-72.53,-0.1036,24.18,0.0345,-72.53,-0.1036,0.35,0,-363.26,-73.09,0,1,0,0,0,0
0_0,0_0,18,0, fk4,04-07 22:15:35,04-07 22:15:45,none,none,none,none,0.00,04-07 23:17:42,61,N912122913,UXLINKUSDT,long,stopLoss,,-48.40,-0.0691,6.47,0.0092,-53.66,-0.0767,0.35,0,-122.90,-48.96,0,2,0,0,0,0
0_0,0_0,3,0, fk4,04-07 22:07:34,04-07 22:07:44,none,none,none,none,0.00,04-07 23:29:43,81,N842176900,NILUSDT,long,stopLoss,,-59.74,-0.0853,8.49,0.0121,-68.09,-0.0973,0.35,0,-241.50,-109.26,0,3,0,0,0,0
0_0,0_0,9,0, fk4,04-07 22:15:20,04-07 22:15:30,none,none,none,none,0.00,04-07 23:41:07,85,N475504770,BIDUSDT,long,stopLoss,,-35.50,-0.0507,6.30,0.0090,-35.50,-0.0507,0.35,0,-107.73,-145.31,0,4,0,0,0,0
0_0,0_0,18,0, fk4,04-07 22:15:35,04-07 22:15:45,none,none,none,none,0.00,04-08 00:10:05,114,N149260914,HEIUSDT,long,stopLoss,,-38.50,-0.0550,14.87,0.0212,-39.16,-0.0559,0.35,0,-250.16,-184.37,0,5,0,0,0,0
0_0,0_0,18,0, fk4,04-07 22:15:35,04-07 22:38:58,none,none,none,none,0.00,04-08 00:20:19,101,N305287868,FARTCOINUSDT,long,stopEarn,,12.35,0.0176,42.59,0.0608,-3.97,-0.1036,0.35,0,-236.48,-245.68,0,5,0,0,0,0
0_0,0_0,9,0, fk4,04-07 22:15:20,04-07 22:15:30,none,none,none,none,0.00,04-08 00:23:52,128,N398728139,1000XUSDT,long,stopLoss,,-40.43,-0.0578,6.25,0.0089,-40.75,-0.0582,0.35,0,-392.96,-286.67,0,6,0,0,0,0
0_0,0_0,18,0, fk4,04-07 22:15:35,04-07 22:15:45,none,none,none,none,0.00,04-08 00:24:08,128,N501925885,PENDLEUSDT,long,stopLoss,,-48.65,-0.0695,14.49,0.0207,-50.04,-0.0715,0.35,0,-338.61,-294.88,0,7,0,0,0,0
0_0,0_0,18,0, fk4,04-07 22:15:35,04-07 22:15:45,none,none,none,none,0.00,04-08 00:25:36,129,N450328682,TUTUSDT,long,stopEarn,,12.57,0.0180,53.75,0.0768,-26.14,-0.0373,0.35,0,-232.14,-233.66,0,7,0,0,0,0
0_0,0_0,9,0, fk4,04-07 22:15:20,04-07 22:15:30,none,none,none,none,0.00,04-08 00:46:05,150,N316798246,SPXUSDT,long,stopLoss,,-36.96,-0.0528,31.84,0.0455,-37.77,-0.0540,0.35,0,-394.73,-361.39,0,8,0,0,0,0
0_0,0_0,2,0, fk4,04-07 22:00:48,04-07 22:01:38,none,none,none,none,0.00,04-08 02:25:03,263,N983308982,EDUUSDT,long,stopEarn,,82.91,0.1184,126.87,0.1812,-29.49,-0.0421,0.35,0,-278.16,-279.04,0,8,0,0,0,0
0_0,0_0,9,0, fk4,04-07 22:15:20,04-07 22:15:30,none,none,none,none,0.00,04-08 02:55:27,279,N842767557,1000000MOGUSDT,long,stopEarn,,10.93,0.0156,38.46,0.0549,-22.07,-0.0315,0.35,0,-366.96,-268.67,0,8,0,0,0,0
0_0,0_0,0,1, fk4,04-08 03:17:01,04-08 03:17:11,none,none,none,none,0.00,04-08 05:25:58,128,N316710636,HIPPOUSDT,short,stopLoss,,-36.84,-0.0500,0.00,0.0000,-36.84,-0.0500,0.35,0,-358.29,-306.07,0,9,0,0,0,0
0_0,0_0,5,0, fk4,04-08 00:26:00,04-08 00:26:10,none,none,none,none,0.00,04-08 05:35:29,309,N377669499,HBARUSDT,long,stopEarn,,21.87,0.0312,36.42,0.0520,-8.62,-0.0123,0.35,0,-384.75,-284.76,0,9,0,0,0,0
0_0,0_0,7,0, fk4,04-08 00:28:04,04-08 00:28:14,none,none,none,none,0.00,04-08 07:00:12,391,N626095442,SUIUSDT,long,stopEarn,,15.98,0.0228,33.30,0.0476,-9.41,-0.0134,0.35,0,-347.05,-269.34,0,9,0,0,0,0
0_0,0_0,2,0, fk4,04-08 03:31:18,04-08 03:31:28,none,none,none,none,0.00,04-08 07:20:42,229,N253817427,GUNUSDT,long,stopLoss,,-35.13,-0.0502,8.78,0.0125,-36.38,-0.0520,0.35,0,-383.32,-305.02,0,10,0,0,0,0
0_0,0_0,12,0, fk4,04-07 23:19:30,04-07 23:19:40,none,none,none,none,0.00,04-08 07:36:17,496,N836612871,BROCCOLI714USDT,long,stopLoss,,-36.75,-0.0525,14.94,0.0213,-36.75,-0.0525,0.35,0,-433.68,-342.34,0,11,0,0,0,0
0_0,0_0,6,0, fk4,04-08 00:20:24,04-08 00:20:34,none,none,none,none,0.00,04-08 08:01:37,461,N470335913,JELLYJELLYUSDT,long,stopLoss,,-35.47,-0.0507,15.12,0.0216,-35.47,-0.0507,0.35,0,-458.62,-378.36,0,12,0,0,0,0
0_0,0_0,12,0, fk4,04-07 23:42:55,04-07 23:43:05,none,none,none,none,0.00,04-08 12:00:48,737,N756286845,HOOKUSDT,long,stopEarn,,27.07,0.0387,58.66,0.0838,-19.34,-0.0276,0.35,0,-456.85,-351.85,0,12,0,0,0,0
0_0,0_0,3,0, fk4,04-08 06:01:58,04-08 06:02:08,none,none,none,none,0.00,04-08 12:10:17,368,N157100638,FARTCOINUSDT,long,stopEarn,,45.98,0.0657,73.42,0.1049,-18.80,-0.0269,0.35,0,-451.10,-306.43,0,12,0,0,0,0
