SLstatus,same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
0,0_0,0_0,1,1, fk7,04-24 14:31:29,04-24 14:31:39,none,none,none,none,0.00,04-24 15:04:23,32,N585058354,ALPACAUSDT,short,stopLoss,,-53.70,-0.0712,41.92,0.0637,-53.70,-0.0712,0.35,0,-65.49,-54.26,0,1,0,0,0,0
0,0_0,0_0,4,0, fk7,04-24 13:16:01,04-24 13:16:11,none,none,none,none,0.00,04-24 15:07:13,111,N549411611,EPTUSDT,long,stopEarn,,17.08,0.0244,24.32,0.0347,-20.18,-0.0288,0.35,0,-42.06,-37.73,0,1,0,0,0,0
0,0_0,0_0,1,0, fk7,04-24 15:00:21,04-24 15:00:31,none,none,none,none,0.00,04-24 16:01:52,61,N423326642,JELLYJELLYUSDT,long,stopEarn,,10.09,0.0144,14.98,0.0214,-17.12,-0.0245,0.35,0,33.92,-28.21,0,1,0,0,0,0
0,0_0,0_0,0,1, fk7,04-24 15:32:28,04-24 15:32:38,none,none,none,none,0.00,04-24 16:12:38,40,N870680989,ALPACAUSDT,short,stopEarn,,38.43,0.0581,105.03,0.1765,-0.44,-0.0006,0.35,0,2.03,9.67,0,1,0,0,0,0
0,0_0,0_0,0,3, fk7,04-24 15:46:46,04-24 15:46:56,none,none,none,none,0.00,04-24 16:26:56,40,N905509565,SYNUSDT,short,stopEarn,,-30.60,-0.0419,14.19,0.0207,-34.50,-0.0470,0.35,0,-6.36,-21.50,0,1,0,0,0,0
0,0_0,0_0,0,3, fk7,04-24 15:46:46,04-24 15:46:56,none,none,none,none,0.00,04-24 16:26:56,40,N884589643,BROCCOLIF3BUSDT,short,stopEarn,,20.60,0.0303,35.85,0.0540,-0.63,-0.0009,0.35,0,24.24,29.70,0,1,0,0,0,0
0,0_0,0_0,0,2, fk7,04-24 15:42:30,04-24 15:42:40,none,none,none,none,0.00,04-24 16:38:04,55,N649297468,ZEREBROUSDT,short,stopEarn,,13.75,0.0200,17.07,0.0250,-17.57,-0.0245,0.35,0,43.93,11.73,0,1,0,0,0,0
0,0_0,0_0,2,1, fk7,04-24 16:28:40,04-24 16:28:50,none,none,none,none,0.00,04-24 17:08:50,40,N347515334,AERGOUSDT,long,stopEarn,,30.80,0.0440,71.02,0.1015,-1.34,-0.0019,0.35,0,18.72,41.97,0,1,0,0,0,0
0,0_0,0_0,1,1, fk7,04-24 16:30:41,04-24 16:30:51,none,none,none,none,0.00,04-24 17:10:51,40,N344869749,NEIROETHUSDT,short,stopEarn,,-0.35,-0.0005,39.18,0.0593,-14.31,-0.0200,0.35,0,20.35,41.06,0,1,0,0,0,0
0,0_0,0_0,1,3, fk7,04-24 17:00:46,04-24 17:00:56,none,none,none,none,0.00,04-24 17:30:09,29,N655955305,BROCCOLIF3BUSDT,short,stopLoss,,-43.43,-0.0584,1.10,0.0016,-43.43,-0.0584,0.35,0,-9.30,-2.93,0,2,0,0,0,0
0,0_0,0_0,1,0, fk7,04-24 18:11:03,04-24 18:11:13,none,none,none,none,0.00,04-24 18:51:13,40,N831971610,NMRUSDT,long,stopEarn,,14.71,0.0210,19.63,0.0280,-22.13,-0.0316,0.35,0,-10.88,11.22,0,2,0,0,0,0
0,0_0,0_0,1,1, fk7,04-24 18:25:06,04-24 18:25:16,none,none,none,none,0.00,04-24 19:12:20,47,N842727497,ZEREBROUSDT,long,stopEarn,,14.28,0.0204,19.10,0.0273,-9.36,-0.0134,0.35,0,-3.87,24.94,0,2,0,0,0,0
0,0_0,0_0,1,0, fk7,04-24 19:15:17,04-24 19:15:27,none,none,none,none,0.00,04-24 19:23:47,8,N766557217,NKNUSDT,long,stopLoss,,-44.10,-0.0630,5.77,0.0082,-44.10,-0.0630,0.35,0,-50.14,-19.72,0,3,0,0,0,0
0,0_0,0_0,1,1, fk7,04-24 18:25:06,04-24 18:25:16,none,none,none,none,0.00,04-24 19:31:48,66,N632505736,AERGOUSDT,short,stopLoss,,-42.04,-0.0566,0.00,0.0000,-42.04,-0.0566,0.35,0,-70.48,-62.32,0,4,0,0,0,0
0,0_0,0_0,0,1, fk7,04-24 20:15:14,04-24 20:15:24,none,none,none,none,0.00,04-24 20:55:24,40,N585615585,INITUSDT,short,stopEarn,,1.03,0.0015,20.41,0.0300,-16.30,-0.0228,0.35,0,-49.88,-61.85,0,4,0,0,0,0
0,0_0,0_0,1,0, fk7,04-24 17:18:51,04-24 17:19:01,none,none,none,none,0.00,04-24 20:55:42,216,N188539796,PROMPTUSDT,long,stopEarn,,13.65,0.0195,18.12,0.0259,-23.04,-0.0329,0.35,0,-48.21,-48.77,0,4,0,0,0,0
0,0_0,0_0,1,1, fk7,04-24 21:05:25,04-24 21:05:35,none,none,none,none,0.00,04-24 21:09:12,3,N934604214,ZEREBROUSDT,short,stopLoss,,-42.42,-0.0571,2.44,0.0035,-42.42,-0.0571,0.35,0,-91.19,-91.75,0,5,0,0,0,0
0,0_0,0_0,1,0, fk7,04-24 21:11:26,04-24 21:11:36,none,none,none,none,0.00,04-24 21:51:37,40,N624809931,PROMPTUSDT,long,stopEarn,,-12.56,-0.0179,30.23,0.0432,-16.82,-0.0240,0.35,0,-114.24,-104.87,0,5,0,0,0,0
0,0_0,0_0,2,1, fk7,04-24 21:17:43,04-24 21:17:53,none,none,none,none,0.00,04-24 21:57:53,40,N765069684,FLMUSDT,short,stopEarn,,6.93,0.0100,17.33,0.0254,-13.86,-0.0194,0.35,0,-117.21,-98.50,0,5,0,0,0,0
0,0_0,0_0,4,0, fk7,04-24 21:31:31,04-24 21:31:41,none,none,none,none,0.00,04-24 22:40:48,69,N623208702,ZEREBROUSDT,long,stopEarn,,12.43,0.0178,15.71,0.0224,-23.33,-0.0333,0.35,0,30.07,-86.62,0,5,0,0,0,0
0,0_0,0_0,3,0, fk7,04-24 22:00:52,04-24 22:01:02,none,none,none,none,0.00,04-24 22:42:02,40,N831857785,ALPACAUSDT,long,stopEarn,,82.68,0.1181,112.99,0.1614,-11.88,-0.0170,0.35,0,8.05,-4.50,0,5,0,0,0,0
