
funcName,bootTime,openTime,addTime1,addTime2,addTime3,closeTime,duration,name,symbol,side,AISide,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
 re,09-11 11:29:57,09-11 11:30:07,none,none,none,09-11 12:41:15,71,N733897698,NEIROETHUSDT,long,oppo,stopLoss,,-51.65,-0.0516,12.09,0.0121,-51.65,-0.0516,0.50,0,0.00,-52.45,0,1,0,0,0,0
 re,09-11 11:29:57,09-11 14:55:07,none,none,none,09-11 17:11:47,136,N733897698,NEIROETHUSDT,short,oppo,oppo,,-1.75,-0.0017,26.78,0.0275,-8.15,-0.0516,0.50,0,0.00,-54.99,0,1,0,0,1,0
 re,09-11 14:55:13,09-11 14:55:23,09-11 16:32:29,none,none,09-11 18:15:49,200,N372587392,POPCATUSDT,short,oppo,forceOut,,52.83,0.0335,67.32,0.0431,-4.90,-0.0049,0.80,0,0.00,51.52,0,1,0,0,1,0
 re,09-11 11:29:57,09-11 17:11:57,none,none,none,09-11 18:35:07,83,N733897698,NEIROETHUSDT,long,oppo,oppo,,-32.56,-0.0326,14.53,0.0145,-41.28,-0.0516,0.50,0,0.00,-88.35,0,1,0,0,2,0
 re,09-11 14:55:13,09-11 14:55:23,09-11 16:30:56,none,none,09-11 19:42:43,287,N177450253,REEFUSDT,short,oppo,oppo,,-21.12,-0.0128,39.43,0.0304,-28.30,-0.0275,0.80,0,0.00,-22.43,0,1,0,0,3,0
 re,09-11 14:55:13,09-11 14:55:23,none,none,none,09-11 20:13:33,318,N457535453,SAGAUSDT,short,oppo,oppo,,7.16,0.0072,19.17,0.0195,-10.41,-0.0103,0.50,0,0.00,6.36,0,1,0,0,4,0
 re,09-11 11:29:57,09-11 18:35:57,none,none,none,09-11 20:32:47,116,N733897698,NEIROETHUSDT,short,oppo,oppo,,-40.41,-0.0388,0.00,0.0000,-41.62,-0.0516,0.50,0,0.00,-129.56,0,1,0,0,5,0
 re,09-11 15:17:04,09-11 15:17:14,none,none,none,09-11 21:54:14,397,N116525213,TOKENUSDT,long,oppo,oppo,,-29.33,-0.0293,12.51,0.0125,-33.63,-0.0336,0.50,0,0.00,-30.13,0,1,0,0,6,0
 re,09-11 14:55:13,09-11 19:43:13,none,none,none,09-11 22:16:33,153,N177450253,REEFUSDT,long,oppo,oppo,,-45.81,-0.0458,24.11,0.0241,-45.81,-0.0458,0.50,0,0.00,-69.04,0,1,0,0,7,0
 re,09-11 14:55:13,09-11 14:55:23,none,none,none,09-11 22:34:33,459,N751783557,BOMEUSDT,long,oppo,oppo,,-25.84,-0.0258,20.74,0.0207,-26.80,-0.0268,0.50,0,0.00,-26.64,0,1,0,0,8,0
 re,09-11 14:55:13,09-11 20:14:13,none,none,none,09-11 22:40:43,146,N457535453,SAGAUSDT,long,oppo,oppo,,-25.69,-0.0257,15.50,0.0155,-26.92,-0.0269,0.50,0,0.00,-20.13,0,1,0,0,9,0
 re,09-11 15:17:19,09-11 15:17:29,none,none,none,09-11 22:46:09,448,N435541483,DENTUSDT,long,oppo,oppo,,-31.62,-0.0316,7.91,0.0079,-35.57,-0.0356,0.50,0,0.00,-32.42,0,1,0,0,10,0
 re,09-11 15:17:19,09-11 15:17:29,none,none,none,09-11 22:47:09,449,N781983582,CHRUSDT,long,oppo,oppo,,-28.70,-0.0287,12.99,0.0130,-29.78,-0.0298,0.50,0,0.00,-29.50,0,1,0,0,11,0
 re,09-11 15:02:04,09-11 15:02:14,none,none,none,09-11 22:47:34,465,N711066559,BLURUSDT,long,oppo,oppo,,-24.66,-0.0247,14.91,0.0149,-28.67,-0.0287,0.50,0,0.00,-25.46,0,1,0,0,12,0
 re,09-11 14:55:13,09-11 22:17:13,none,none,none,09-11 23:06:53,49,N177450253,REEFUSDT,short,oppo,oppo,,-45.77,-0.0438,4.45,0.0045,-47.04,-0.0458,0.50,0,0.00,-115.61,0,1,0,0,13,0
 re,09-11 10:31:15,09-11 10:31:25,09-11 13:06:28,none,none,09-11 23:40:55,789,N496330383,SUPERUSDT,short,oppo,oppo,,-48.50,-0.0289,53.67,0.0341,-55.09,-0.0327,0.80,0,0.00,-49.81,0,1,0,0,14,0
 re,09-11 10:31:15,09-11 10:31:25,09-11 22:44:42,none,none,09-12 00:30:15,838,N172451902,ICPUSDT,short,oppo,oppo,,-45.51,-0.0272,30.18,0.0301,-48.76,-0.0291,0.80,0,0.00,-46.81,0,1,0,0,15,0
 re,09-11 15:17:04,09-11 21:58:04,none,none,none,09-12 00:55:07,177,N116525213,TOKENUSDT,short,oppo,stopLoss,,-54.12,-0.0513,6.58,0.0066,-54.12,-0.0513,0.50,0,0.00,-85.04,0,2,0,0,15,0
 re,09-11 14:54:42,09-11 14:54:52,none,none,none,09-12 01:07:52,613,N129193503,IOUSDT,short,oppo,oppo,,-22.61,-0.0221,23.24,0.0238,-23.87,-0.0233,0.50,0,0.00,-23.41,0,2,0,0,16,0
 re,09-11 14:55:13,09-11 23:07:13,09-12 01:07:42,none,none,09-12 01:19:11,131,N177450253,REEFUSDT,long,oppo,forceOut,,52.20,0.0333,68.28,0.0435,-20.71,-0.0458,0.80,0,0.00,-64.66,0,2,0,0,16,0
 re,09-11 11:29:57,09-11 20:32:57,09-12 01:15:35,none,none,09-12 01:31:50,298,N733897698,NEIROETHUSDT,long,oppo,forceOut,,48.45,0.0309,64.66,0.0412,-35.98,-0.0516,0.80,0,0.00,-82.36,0,2,0,0,16,0
