name,bootTime,openTime,addTime1,addTime2,addTime3,closeTime,duration,name,symbol,side,AISide,closeType,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
 z1,08-05 15:38:09,08-05 15:38:19,none,none,none,08-05 15:48:35,10,F363802695_3m,RENDERUSDT,short,oppo,AICloseOppo,-21.41,-0.0345,1.51,0.0025,-21.41,-0.0345,0.30,0,0.00,-21.89,0,0,0,0,0,0
 z1,08-05 15:37:57,08-05 15:38:07,none,none,none,08-05 16:14:59,36,O634083173,TNSRUSDT,short,oppo,stopEarn,9.07,0.0154,16.64,0.0285,-2.81,-0.0047,0.30,0,0.00,8.59,2,0,0,0,0,0
 z1,08-05 15:37:57,08-05 15:38:07,none,none,none,08-05 16:15:26,37,O548107547,SSVUSDT,short,oppo,stopEarn,8.36,0.0141,15.51,0.0265,-4.18,-0.0069,0.30,0,0.00,7.88,4,0,0,0,0,0
 z1,08-05 15:37:57,08-05 15:38:07,none,none,none,08-05 16:17:47,39,O726379329,UNFIUSDT,short,oppo,stopEarn,8.36,0.0141,16.19,0.0277,-7.05,-0.0116,0.30,0,0.00,7.88,6,0,0,0,0,0
 z1,08-05 15:37:57,08-05 15:38:07,08-05 16:13:08,none,none,08-05 16:22:18,44,O112810146,LISTAUSDT,short,oppo,stopEarn,20.01,0.0125,20.01,0.0303,-10.73,-0.0085,0.80,0,0.00,18.71,8,0,0,0,0,0
 z1,08-05 15:38:09,08-05 15:49:10,08-05 16:21:28,none,none,08-05 18:07:45,138,F363802695_3m,RENDERUSDT,long,AIOpenOppo,stopLoss,-79.37,-0.0502,27.95,0.0309,-79.37,-0.0502,0.80,0,0.00,-102.52,8,2,0,0,0,0
 z1,08-05 15:37:57,08-05 15:38:07,08-05 17:26:05,08-05 18:21:42,none,08-05 18:22:03,163,O295650619,LINAUSDT,short,oppo,stopEarn,62.85,0.0241,78.70,0.0457,-6.86,-0.0113,1.30,0,0.00,60.69,10,2,0,0,0,0
 z1,08-05 15:37:57,08-05 15:38:07,08-05 16:44:01,08-05 18:22:30,none,08-05 18:22:47,164,O580748787,PENDLEUSDT,short,oppo,stopEarn,63.10,0.0242,69.75,0.0450,-12.52,-0.0153,1.30,0,0.00,121.64,12,2,0,0,0,0
 z1,08-05 15:37:57,08-05 15:38:07,08-05 17:47:22,08-05 18:21:29,none,08-05 18:26:27,168,O461581892,AMBUSDT,short,oppo,stopEarn,65.29,0.0251,83.53,0.0460,-24.01,-0.0385,1.30,0,0.00,184.78,14,2,0,0,0,0
 z1,08-05 15:37:57,08-05 15:38:07,08-05 17:11:40,08-05 18:37:16,none,08-05 18:40:25,182,O756856448,ACEUSDT,short,oppo,stopEarn,63.47,0.0243,83.85,0.0454,-9.01,-0.0148,1.30,0,0.00,246.10,16,2,0,0,0,0
 z1,08-05 15:37:57,08-05 16:15:57,08-05 17:11:36,08-05 18:37:21,none,08-05 18:40:29,144,O634083173,TNSRUSDT,short,oppo,stopEarn,62.68,0.0240,88.91,0.0451,-6.56,-0.0108,1.30,0,0.00,253.90,18,2,0,0,0,0
 z1,08-05 15:37:57,08-05 15:38:07,08-05 17:39:08,08-05 18:37:13,none,08-05 18:42:34,184,O506339179,SUIUSDT,short,oppo,stopEarn,63.41,0.0243,87.47,0.0451,-6.83,-0.0113,1.30,0,0.00,376.48,20,2,0,0,0,0
 z1,08-05 15:37:57,08-05 16:17:57,08-05 17:49:23,08-05 18:58:27,none,08-05 18:58:49,160,O726379329,UNFIUSDT,short,oppo,stopEarn,63.76,0.0245,71.33,0.0461,-12.35,-0.0116,1.30,0,0.00,445.97,22,2,0,0,0,0
 z1,08-05 15:37:57,08-05 15:38:07,08-05 17:50:07,08-05 19:02:58,none,08-05 19:03:04,204,O729479946,1000SATSUSDT,short,oppo,stopEarn,62.27,0.0239,69.72,0.0450,-10.90,-0.0178,1.30,0,0.00,506.08,24,2,0,0,0,0
 z1,08-05 15:38:09,08-05 18:08:10,08-05 18:26:19,08-05 19:04:37,none,08-05 19:05:06,56,F363802695_3m,RENDERUSDT,short,oppo,stopEarn,62.83,0.0241,71.12,0.0450,-12.59,-0.0502,1.30,0,0.00,464.24,26,2,0,0,0,0
 z1,08-05 15:37:57,08-05 16:15:57,08-05 17:44:28,08-05 19:09:33,none,08-05 19:10:04,174,O548107547,SSVUSDT,short,oppo,stopEarn,63.61,0.0244,70.18,0.0454,-5.00,-0.0080,1.30,0,0.00,575.42,28,2,0,0,0,0
 z1,08-05 15:37:57,08-05 16:22:57,08-05 17:47:41,08-05 19:05:34,none,08-05 19:10:32,167,O112810146,LISTAUSDT,short,oppo,stopEarn,62.80,0.0241,79.17,0.0452,-3.77,-0.0085,1.30,0,0.00,654.78,30,2,0,0,0,0
 z1,08-05 15:37:57,08-05 15:38:07,08-05 17:47:48,08-05 19:27:18,none,08-05 19:27:25,229,O214031259,BALUSDT,short,oppo,stopEarn,63.80,0.0245,70.35,0.0455,-7.60,-0.0088,1.30,0,0.00,716.43,32,2,0,0,0,0
