name,bootTime,openTime,addTime1,addTime2,addTime3,closeTime,duration,name,symbol,side,AISide,closeType,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
 macd2,08-02 16:03:06,08-02 16:03:16,none,none,none,08-02 16:06:07,2,O568026496,TRUUSDT,long,zero,macdSubOppo,-1.07,-0.0018,1.24,0.0021,-1.07,-0.0018,0.30,0,0.00,-1.55,0,0,0,0,0,0
 macd2,08-02 16:03:06,08-02 16:08:06,none,none,none,08-02 16:10:07,2,O568026496,TRUUSDT,long,zero,macdSubOppo,-2.47,-0.0041,0.39,0.0007,-2.47,-0.0041,0.30,0,0.00,-4.50,0,0,0,0,0,0
 macd2,08-02 16:03:06,08-02 16:03:16,none,none,none,08-02 16:45:37,42,O853621840,RIFUSDT,short,zero,oppo,-21.25,-0.0342,0.13,0.0002,-24.73,-0.0396,0.30,0,-4.50,-26.24,0,0,0,0,2,0
 macd2,08-02 16:03:06,08-02 16:03:16,none,none,none,08-02 16:51:06,47,O704939302,SFPUSDT,long,zero,macdSubOppo,-1.97,-0.0033,0.83,0.0014,-4.24,-0.0071,0.30,0,-4.50,-6.95,0,0,0,0,2,0
 macd2,08-02 16:03:06,08-02 16:03:16,none,none,none,08-02 17:50:26,107,O359424107,AAVEUSDT,long,zero,oppo,-7.74,-0.0129,3.30,0.0055,-8.77,-0.0146,0.30,0,-6.95,-15.17,0,0,0,0,4,0
 macd2,08-02 16:12:41,08-02 16:12:51,none,none,none,08-02 17:50:42,97,N670872424,BNXUSDT,long,zero,macdSubOppo,1.39,0.0023,8.32,0.0139,-2.87,-0.0048,0.30,0,-6.95,-6.04,0,0,0,0,4,0
 macd2,08-02 16:07:43,08-02 16:07:53,none,none,none,08-02 18:15:33,127,N799959434,BONDUSDT,long,zero,oppo,0.89,0.0015,4.47,0.0074,-5.96,-0.0099,0.30,0,-6.04,-5.62,0,0,0,0,6,0
 macd2,08-02 16:16:01,08-02 16:16:11,none,none,none,08-02 18:45:41,149,N147686586,DYMUSDT,long,zero,oppo,3.40,0.0057,8.45,0.0141,-3.53,-0.0059,0.30,0,-6.04,-3.12,0,0,0,0,8,0
 macd2,08-02 16:08:16,08-02 16:09:27,none,none,none,08-02 18:55:16,165,N598865970,STORJUSDT,long,zero,oppo,-10.32,-0.0172,1.95,0.0033,-11.72,-0.0195,0.30,0,-6.04,-16.84,0,0,0,0,10,0
 macd2,08-02 16:03:06,08-02 17:51:07,none,none,none,08-02 19:00:47,69,O359424107,AAVEUSDT,short,zero,oppo,-8.73,-0.0143,0.10,0.0002,-9.62,-0.0158,0.30,0,-6.04,-23.46,0,0,0,0,12,0
 macd2,08-02 16:03:06,08-02 16:03:16,none,none,none,08-02 19:15:06,191,O326393493,OMUSDT,long,zero,oppo,11.70,0.0195,16.81,0.0280,-5.94,-0.0099,0.30,0,-6.04,5.18,0,0,0,0,14,0
 macd2,08-02 16:03:06,08-02 16:46:07,08-02 18:41:20,none,none,08-02 19:30:16,164,O853621840,RIFUSDT,long,zero,oppo,-2.73,-0.0017,23.80,0.0307,-6.68,-0.0396,0.80,0,-6.04,-31.76,0,0,0,0,16,0
 macd2,08-02 16:03:06,08-02 18:45:36,none,none,none,08-02 19:30:47,45,shenfu,BTCUSDT,short,zero,oppo,-2.91,-0.0048,0.06,0.0001,-3.93,-0.0065,0.30,0,-6.04,-9.42,0,0,0,0,18,0
 macd2,08-02 16:16:01,08-02 18:46:04,none,none,none,08-02 20:02:04,75,N147686586,DYMUSDT,short,zero,macdSubOppo,-0.48,-0.0008,2.60,0.0043,-5.54,-0.0092,0.30,0,-6.04,-4.08,0,0,0,0,18,0
 macd2,08-02 16:03:06,08-02 16:03:16,none,none,none,08-02 20:04:02,240,O746307866,SKLUSDT,long,zero,oppo,2.39,0.0040,12.51,0.0208,-6.25,-0.0104,0.30,0,-6.04,-4.13,0,0,0,0,20,0
 macd2,08-02 16:08:16,08-02 18:55:21,none,none,none,08-02 20:20:26,85,N598865970,STORJUSDT,short,zero,oppo,-6.86,-0.0068,4.50,0.0045,-17.99,-0.0195,0.50,0,-4.08,-22.54,0,0,0,0,22,0
 macd2,08-02 16:03:06,08-02 19:15:11,none,none,none,08-02 20:25:07,69,O326393493,OMUSDT,short,zero,macdSubOppo,-2.44,-0.0024,1.57,0.0016,-9.69,-0.0099,0.50,0,-4.08,3.90,0,0,0,0,22,0
 macd2,08-02 16:05:41,08-02 16:05:51,08-02 19:04:45,none,none,08-02 20:25:31,259,N222928888,MYROUSDT,long,zero,oppo,2.27,0.0014,23.72,0.0304,-3.25,-0.0054,0.80,0,-4.08,-3.06,0,0,0,0,24,0
 macd2,08-02 16:08:16,08-02 16:08:26,none,none,none,08-02 20:35:36,267,N246738867,FETUSDT,long,zero,oppo,7.79,0.0130,15.21,0.0253,-7.90,-0.0132,0.30,0,3.90,11.21,0,0,0,0,26,0
 macd2,08-02 17:53:16,08-02 17:53:36,08-02 19:02:15,none,none,08-02 20:35:46,162,N468351369,ZETAUSDT,long,zero,oppo,3.44,0.0022,23.54,0.0303,-9.12,-0.0058,0.80,0,3.90,6.08,0,0,0,0,28,0
 macd2,08-02 16:03:06,08-02 19:31:07,none,none,none,08-02 20:35:46,64,shenfu,BTCUSDT,long,zero,oppo,-3.30,-0.0055,0.05,0.0001,-6.70,-0.0112,0.30,0,3.90,-3.26,0,0,0,0,30,0
 macd2,08-02 16:05:41,08-02 20:25:42,none,none,none,08-02 20:40:42,15,N222928888,MYROUSDT,short,zero,macdSubOppo,-0.43,-0.0007,3.98,0.0067,-7.54,-0.0124,0.30,0,3.90,4.01,0,0,0,0,30,0
 macd2,08-02 16:08:16,08-02 20:21:18,none,none,none,08-02 21:10:16,48,N598865970,STORJUSDT,long,zero,oppo,-7.47,-0.0125,0.56,0.0009,-8.74,-0.0195,0.30,0,4.01,-22.41,0,0,0,0,32,0
 macd2,08-02 16:03:06,08-02 19:01:06,none,none,none,08-02 21:25:37,144,O359424107,AAVEUSDT,long,zero,oppo,-2.89,-0.0048,8.25,0.0137,-5.98,-0.0158,0.30,0,4.01,-16.78,0,0,0,0,34,0
 macd2,08-02 20:31:51,08-02 20:32:01,none,none,none,08-02 21:35:31,63,N636444931,LPTUSDT,short,zero,oppo,-6.01,-0.0099,3.95,0.0066,-9.42,-0.0155,0.30,0,4.01,-2.49,0,0,0,0,36,0
 macd2,08-02 16:03:06,08-02 20:36:07,none,none,none,08-02 21:42:06,65,shenfu,BTCUSDT,short,zero,oppo,-9.29,-0.0152,1.44,0.0024,-9.80,-0.0161,0.30,0,4.01,-12.92,0,0,0,0,38,0
 macd2,08-02 20:53:06,08-02 20:53:16,none,none,none,08-02 21:55:07,61,N504231117,XEMUSDT,long,zero,macdSubOppo,7.17,0.0120,9.56,0.0159,-11.95,-0.0199,0.30,0,4.01,10.70,0,0,0,0,38,0
 macd2,08-02 16:03:06,08-02 21:42:11,none,none,none,08-02 22:55:17,73,shenfu,BTCUSDT,long,zero,oppo,-29.65,-0.0297,2.05,0.0020,-29.84,-0.0298,0.50,0,10.70,-36.67,0,0,0,0,40,0
 macd2,08-02 16:03:06,08-02 21:26:07,08-02 22:10:42,08-02 22:58:11,none,08-02 22:58:20,92,O359424107,AAVEUSDT,short,zero,stopEarn,63.25,0.0243,69.84,0.0451,-3.94,-0.0158,1.30,0,10.70,51.02,2,0,0,0,40,0
