SLstatus,same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
0,0_0,0_0,17,3, fk5,04-14 10:50:40,04-14 10:50:50,none,none,none,none,0.00,04-14 13:05:20,134,N135810908,OMUSDT,short,stopEarn,,40.27,0.0610,112.12,0.1907,-40.69,-0.0549,0.35,0,30.97,39.71,0,0,0,0,0,0
0,0_0,0_0,17,2, fk5,04-14 10:48:45,04-14 10:49:45,none,none,none,none,0.00,04-14 13:55:15,185,N193514379,STOUSDT,long,stopEarn,,35.10,0.0501,79.79,0.1140,-11.62,-0.0166,0.35,0,62.90,74.25,0,0,0,0,0,0
0,0_0,0_0,17,3, fk5,04-14 10:50:40,04-14 10:50:50,none,none,none,none,0.00,04-14 15:38:37,287,N187513136,FORTHUSDT,short,stopEarn,,27.93,0.0416,36.87,0.0556,-10.72,-0.0151,0.35,0,116.74,101.62,0,0,0,0,0,0
0,0_0,0_0,17,2, fk5,04-14 10:48:45,04-14 10:49:46,none,none,none,none,0.00,04-14 16:24:48,335,N601774774,ALCHUSDT,long,oppo,,-16.26,-0.0232,3.57,0.0051,-24.42,-0.0349,0.35,0,113.86,84.80,0,0,0,0,1,0
0,0_0,0_0,15,7, fk5,04-14 10:54:30,04-14 10:54:40,none,none,none,none,0.00,04-14 16:25:10,330,N785254360,TROYUSDT,short,stopEarn,,15.38,0.0225,38.46,0.0581,-19.23,-0.0267,0.35,0,128.70,116.44,0,0,0,0,1,0
0,0_0,0_0,19,33, fk5,04-14 16:25:15,04-14 16:25:25,none,none,none,none,0.00,04-14 16:51:51,26,N901464167,VIDTUSDT,short,stopLoss,,-80.67,-0.1033,10.41,0.0151,-80.67,-0.1033,0.35,0,0.54,35.21,0,1,0,0,1,0
0,0_0,0_0,12,80, fk5,04-14 15:38:42,04-14 15:38:52,none,none,none,none,0.00,04-14 18:30:10,171,N322099463,OMUSDT,short,stopEarn,,-46.58,-0.0624,59.97,0.0937,-57.23,-0.0756,0.35,0,54.67,-11.93,0,1,0,0,1,0
0,0_0,0_0,12,80, fk5,04-14 10:48:45,04-14 16:24:53,none,none,none,none,0.00,04-14 19:24:33,179,N601774774,ALCHUSDT,short,stopLoss,,-71.35,-0.0925,17.94,0.0263,-71.35,-0.0925,0.35,0,65.10,-100.66,0,2,0,0,1,0
0,0_0,0_0,10,108, fk5,04-14 13:55:20,04-14 13:55:30,none,none,none,none,0.00,04-14 19:32:15,336,N175503468,FHEUSDT,short,stopEarn,,34.64,0.0521,113.98,0.1945,-15.43,-0.0216,0.35,0,43.27,-66.58,0,2,0,0,1,0
0,0_0,0_0,37,9, fk5,04-14 18:30:15,04-14 18:30:25,none,none,none,none,0.00,04-14 20:35:10,124,N207976281,STOUSDT,long,stopEarn,,57.09,0.0816,126.91,0.1813,-8.63,-0.0123,0.35,0,-38.66,-10.04,0,2,0,0,1,0
