same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
0_0,0_0,7,9, fk6,04-06 23:22:19,04-06 23:23:20,none,none,none,none,0.00,04-07 01:11:08,107,N287820454,HIPPOUSDT,long,stopEarn,,36.92,0.0527,353.85,0.5055,-12.31,-0.0176,0.35,0,87.56,36.36,0,0,0,0,0,0
0_0,0_0,7,9, fk6,04-06 23:22:19,04-06 23:23:20,none,none,none,none,0.00,04-07 02:16:00,172,N484989381,SUNUSDT,long,oppo,,-12.96,-0.0185,0.47,0.0007,-13.43,-0.0192,0.35,0,247.97,22.84,0,0,0,0,1,0
0_0,0_0,7,9, fk6,04-06 23:22:19,04-06 23:23:19,none,none,none,none,0.00,04-07 02:26:51,183,N102220651,1000RATSUSDT,short,stopLoss,,-35.90,-0.0488,15.22,0.0222,-35.90,-0.0488,0.35,0,219.84,-0.10,0,1,0,0,1,0
0_0,0_0,4,108, fk6,04-07 02:28:45,04-07 02:28:55,none,none,none,none,0.00,04-07 02:32:11,3,N658238568,HIPPOUSDT,short,stopLoss,,-38.18,-0.0517,6.36,0.0092,-38.18,-0.0517,0.35,0,237.74,-38.84,0,2,0,0,1,0
0_0,0_0,7,9, fk6,04-06 23:22:19,04-06 23:23:20,none,none,none,none,0.00,04-07 03:14:14,230,N786724453,1000CHEEMSUSDT,short,stopEarn,,2.58,0.0037,31.14,0.0466,-16.69,-0.0233,0.35,0,371.11,1.92,0,2,0,0,1,0
0_0,0_0,5,10, fk6,04-06 23:24:14,04-06 23:24:25,none,none,none,none,0.00,04-07 03:57:13,272,N977867178,ARCUSDT,short,stopEarn,,38.66,0.0584,81.72,0.1322,-2.40,-0.0034,0.35,0,312.52,40.01,0,2,0,0,1,0
0_0,0_0,4,94, fk6,04-07 03:57:18,04-07 03:57:28,none,none,none,none,0.00,04-07 04:06:09,8,N270197900,USUALUSDT,long,stopLoss,,-35.08,-0.0501,4.13,0.0059,-35.08,-0.0501,0.35,0,241.42,4.38,0,3,0,0,1,0
0_0,0_0,7,9, fk6,04-06 23:22:19,04-06 23:23:19,none,none,none,none,0.00,04-07 04:16:37,293,N827127420,ZROUSDT,short,stopEarn,,27.43,0.0408,48.67,0.0747,-0.34,-0.0005,0.35,0,292.88,66.88,0,3,0,0,1,0
0_0,0_0,4,94, fk6,04-07 03:57:18,04-07 04:06:14,none,none,none,none,0.00,04-07 04:34:32,28,N270197900,USUALUSDT,long,stopLoss,,-35.19,-0.0503,0.54,0.0008,-35.19,-0.0503,0.35,0,271.85,-4.50,0,4,0,0,1,0
0_0,0_0,1,68, fk6,04-07 01:11:13,04-07 01:11:23,none,none,none,none,0.00,04-07 05:12:34,241,N334710945,NILUSDT,short,stopLoss,,-35.00,-0.0476,47.40,0.0726,-35.00,-0.0476,0.35,0,228.90,-40.06,0,5,0,0,1,0
0_0,0_0,7,9, fk6,04-06 23:22:19,04-06 23:23:19,none,none,none,none,0.00,04-07 07:36:31,493,N793036658,RIFUSDT,short,stopEarn,,15.07,0.0220,29.93,0.0447,-13.37,-0.0187,0.35,0,276.29,-25.55,0,5,0,0,1,0
0_0,0_0,7,9, fk6,04-06 23:22:19,04-06 23:23:20,none,none,none,none,0.00,04-07 07:40:22,497,N857426780,FORMUSDT,short,stopEarn,,20.63,0.0304,46.98,0.0719,-10.62,-0.0149,0.35,0,241.98,-5.49,0,5,0,0,1,0
0_0,0_0,7,9, fk6,04-06 23:22:19,04-06 23:23:19,none,none,none,none,0.00,04-07 07:45:57,502,N453616342,OPUSDT,short,stopEarn,,46.16,0.0706,66.84,0.1056,-3.70,-0.0053,0.35,0,225.46,40.11,0,5,0,0,1,0
0_0,0_0,5,10, fk6,04-06 23:24:24,04-06 23:24:34,none,none,none,none,0.00,04-07 08:01:35,517,N119208272,MASKUSDT,short,stopEarn,,53.80,0.0832,73.25,0.1169,-6.42,-0.0091,0.35,0,263.34,93.35,0,5,0,0,1,0
0_0,0_0,3,70, fk6,04-07 07:36:36,04-07 07:36:46,none,none,none,none,0.00,04-07 08:17:47,41,N623052558,FUNUSDT,short,stopLoss,,-35.08,-0.0477,12.59,0.0183,-35.08,-0.0477,0.35,0,278.31,57.71,0,6,0,0,1,0
0_0,0_0,7,9, fk6,04-06 23:22:19,04-06 23:23:20,none,none,none,none,0.00,04-07 08:28:43,545,N862797919,OMUSDT,short,stopEarn,,32.26,0.0483,53.86,0.0834,-3.55,-0.0050,0.35,0,245.28,89.41,0,6,0,0,1,0
0_0,0_0,1,68, fk6,04-06 23:22:18,04-07 01:45:19,none,none,none,none,0.00,04-07 09:00:41,435,shenfu,BTCUSDT,short,stopEarn,,20.70,0.0305,33.47,0.0502,-3.90,-0.0055,0.35,0,266.84,109.57,0,6,0,0,1,0
0_0,0_0,1,68, fk6,04-06 23:22:19,04-07 02:16:05,none,none,none,none,0.00,04-07 09:00:43,404,N484989381,SUNUSDT,short,stopEarn,,16.55,0.0242,26.99,0.0401,-0.35,-0.0192,0.35,0,245.43,91.87,0,6,0,0,1,0
0_0,0_0,7,9, fk6,04-06 23:22:19,04-06 23:23:20,none,none,none,none,0.00,04-07 09:12:00,588,N390581874,REZUSDT,short,stopEarn,,60.12,0.0940,75.76,0.1214,-0.82,-0.0012,0.35,0,238.19,151.43,0,6,0,0,1,0
0_0,0_0,4,27, fk6,04-07 09:00:48,04-07 09:00:58,none,none,none,none,0.00,04-07 10:53:10,112,N473896770,USUALUSDT,long,stopLoss,,-35.14,-0.0502,17.57,0.0251,-35.14,-0.0502,0.35,0,270.15,115.73,0,7,0,0,1,0
0_0,0_0,3,65, fk6,04-07 04:16:42,04-07 04:16:52,none,none,none,none,0.00,04-07 12:11:39,474,N796401403,HEIUSDT,short,stopEarn,,29.19,0.0435,62.66,0.0983,-17.94,-0.0250,0.35,0,460.14,144.36,0,7,0,0,1,0
0_0,0_0,3,102, fk6,04-07 05:14:19,04-07 05:14:29,none,none,none,none,0.00,04-07 12:21:25,426,N965419308,1000SATSUSDT,short,stopEarn,,13.59,0.0198,42.48,0.0646,-16.99,-0.0237,0.35,0,373.48,157.39,0,7,0,0,1,0
0_0,0_0,1,17, fk6,04-07 07:46:02,04-07 07:46:13,none,none,none,none,0.00,04-07 13:11:31,325,N338029782,1000000MOGUSDT,short,stopEarn,,28.40,0.0423,59.26,0.0925,-8.15,-0.0115,0.35,0,342.70,185.22,0,7,0,0,1,0
0_0,0_0,7,9, fk6,04-06 23:22:19,04-06 23:23:19,none,none,none,none,0.00,04-07 14:01:51,878,N291797923,BROCCOLIF3BUSDT,long,oppo,,-18.09,-0.0258,18.42,0.0263,-26.76,-0.0382,0.35,0,377.83,166.57,0,7,0,0,2,0
0_0,0_0,5,10, fk6,04-06 23:24:14,04-06 23:24:25,none,none,none,none,0.00,04-07 14:56:29,932,N251283894,BANANAS31USDT,long,stopLoss,,-35.76,-0.0511,16.47,0.0235,-35.76,-0.0511,0.35,0,748.63,148.91,0,8,0,0,2,0
0_0,0_0,4,118, fk6,04-06 23:22:19,04-07 14:01:56,none,none,none,none,0.00,04-07 15:15:43,73,N291797923,BROCCOLIF3BUSDT,short,stopLoss,,-35.32,-0.0480,26.71,0.0397,-35.32,-0.0480,0.35,0,599.43,94.38,0,9,0,0,2,0
0_0,0_0,2,286, fk6,04-07 12:11:44,04-07 12:11:54,none,none,none,none,0.00,04-07 15:42:21,210,N167618558,GUNUSDT,short,stopLoss,,-36.16,-0.0491,21.69,0.0320,-36.16,-0.0491,0.35,0,449.43,57.66,0,10,0,0,2,0
0_0,0_0,1,22, fk6,04-07 07:40:27,04-07 07:40:37,none,none,none,none,0.00,04-07 15:51:08,490,N335711256,NILUSDT,long,stopLoss,,-35.05,-0.0501,32.19,0.0460,-35.05,-0.0501,0.35,0,502.88,22.05,0,11,0,0,2,0
0_0,0_0,2,162, fk6,04-07 15:17:37,04-07 15:17:47,none,none,none,none,0.00,04-07 16:04:04,46,N901050446,FARTCOINUSDT,short,stopLoss,,-35.13,-0.0478,2.15,0.0031,-35.13,-0.0478,0.35,0,436.65,-13.64,0,12,0,0,2,0
0_0,0_0,3,6, fk6,04-07 09:12:05,04-07 09:12:15,none,none,none,none,0.00,04-07 16:19:22,427,N731698421,ARKUSDT,short,stopEarn,,52.23,0.0806,88.50,0.1447,-13.69,-0.0192,0.35,0,428.72,38.03,0,12,0,0,2,0
0_0,0_0,0,20, fk6,04-07 08:19:41,04-07 08:19:51,none,none,none,none,0.00,04-07 16:20:12,480,N824185795,POPCATUSDT,short,stopEarn,,14.83,0.0216,70.56,0.1121,-26.08,-0.0359,0.35,0,381.72,52.30,0,12,0,0,2,0
0_0,0_0,4,118, fk6,04-07 13:11:36,04-07 13:11:46,none,none,none,none,0.00,04-07 16:23:58,192,N658836334,KOMAUSDT,short,stopEarn,,13.59,0.0198,63.17,0.0992,-5.14,-0.0073,0.35,0,284.03,65.33,0,12,0,0,2,0
0_0,0_0,2,256, fk6,04-07 03:14:19,04-07 03:14:29,none,none,none,none,0.00,04-07 16:24:35,790,N844915400,BMTUSDT,short,stopEarn,,36.71,0.0554,77.51,0.1245,-30.19,-0.0413,0.35,0,246.90,101.48,0,12,0,0,2,0
0_0,0_0,5,11, fk6,04-07 08:01:40,04-07 08:01:50,none,none,none,none,0.00,04-07 16:27:42,505,N953659411,EOSUSDT,short,stopEarn,,21.33,0.0314,44.60,0.0680,-14.54,-0.0204,0.35,0,258.33,122.25,0,12,0,0,2,0
0_0,0_0,0,27, fk6,04-07 08:28:48,04-07 08:28:58,none,none,none,none,0.00,04-07 16:36:00,487,N981469579,BROCCOLI714USDT,short,stopEarn,,27.10,0.0403,75.32,0.1206,-31.82,-0.0435,0.35,0,243.71,148.79,0,12,0,0,2,0
0_0,0_0,6,60, fk6,04-07 15:52:53,04-07 15:53:03,none,none,none,none,0.00,04-07 16:43:08,50,N802749926,MUBARAKUSDT,short,stopLoss,,-36.84,-0.0500,7.76,0.0112,-36.84,-0.0500,0.35,0,219.41,111.39,0,13,0,0,2,0
0_0,0_0,2,327, fk6,04-07 14:58:22,04-07 14:58:32,none,none,none,none,0.00,04-07 16:43:25,104,N227971341,FUNUSDT,short,stopLoss,,-40.18,-0.0543,19.76,0.0290,-40.18,-0.0543,0.35,0,223.39,108.05,0,14,0,0,2,0
0_0,0_0,8,0, fk6,04-07 16:45:17,04-07 16:45:27,none,none,none,none,0.00,04-07 17:20:48,35,N456520627,GMXUSDT,long,stopLoss,,-35.13,-0.0502,28.03,0.0400,-35.13,-0.0502,0.35,0,181.47,34.96,0,15,0,0,2,0
0_0,0_0,7,35, fk6,04-07 16:05:52,04-07 16:06:02,none,none,none,none,0.00,04-07 17:49:44,103,N929295122,SONICUSDT,short,stopLoss,,-35.06,-0.0477,7.27,0.0105,-35.06,-0.0477,0.35,0,156.92,-0.66,0,16,0,0,2,0
0_0,0_0,1,77, fk6,04-07 10:55:04,04-07 10:55:14,none,none,none,none,0.00,04-07 18:15:09,439,N595375853,AUCTIONUSDT,short,stopEarn,,50.40,0.0776,75.73,0.1213,0.00,0.0000,0.35,0,141.24,49.17,0,16,0,0,2,0
0_0,0_0,4,108, fk6,04-07 02:28:45,04-07 02:32:16,none,none,none,none,0.00,04-07 18:16:10,943,N658238568,HIPPOUSDT,short,stopEarn,,134.24,0.1897,183.43,0.2786,-15.09,-0.0517,0.35,0,139.19,143.99,0,16,0,0,2,0
0_0,0_0,5,1, fk6,04-07 16:24:40,04-07 16:24:50,none,none,none,none,0.00,04-07 18:28:11,123,N116506117,PARTIUSDT,long,stopLoss,,-35.04,-0.0501,2.85,0.0041,-35.04,-0.0501,0.35,0,100.06,108.39,0,17,0,0,2,0
0_0,0_0,8,0, fk6,04-07 16:44:58,04-07 16:45:08,none,none,none,none,0.00,04-07 18:31:54,106,N363256491,JELLYJELLYUSDT,long,stopLoss,,-35.06,-0.0501,5.35,0.0076,-35.06,-0.0501,0.35,0,93.64,72.77,0,18,0,0,2,0
0_0,0_0,3,23, fk6,04-07 16:19:27,04-07 16:19:37,none,none,none,none,0.00,04-07 20:26:27,246,N442095976,GTCUSDT,short,stopLoss,,-35.81,-0.0487,3.26,0.0047,-35.81,-0.0487,0.35,0,68.45,36.40,0,19,0,0,2,0
