same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
0_0,0_0,0,1, fk7,04-06 23:39:09,04-06 23:39:19,none,none,none,none,0.00,04-07 00:07:36,28,N788197544,FORMUSDT,short,stopLoss,,-35.05,-0.0477,1.11,0.0016,-35.05,-0.0477,0.35,0,-65.24,-35.61,0,1,0,0,0,0
0_0,0_0,1,0, fk7,04-06 23:53:25,04-06 23:53:35,none,none,none,none,0.00,04-07 00:12:33,18,N820449373,1000SATSUSDT,long,stopLoss,,-35.93,-0.0513,7.19,0.0103,-35.93,-0.0513,0.35,0,-71.55,-72.11,0,2,0,0,0,0
0_0,0_0,1,0, fk7,04-07 01:00:42,04-07 01:00:52,none,none,none,none,0.00,04-07 01:10:54,10,N410830272,HIPPOUSDT,long,stopLoss,,-35.87,-0.0512,22.83,0.0326,-35.87,-0.0512,0.35,0,-90.59,-108.54,0,3,0,0,0,0
0_0,0_0,1,0, fk7,04-07 01:00:42,04-07 01:10:59,none,none,none,none,0.00,04-07 01:11:04,0,N410830272,HIPPOUSDT,long,stopLoss,,-66.20,-0.0946,0.00,0.0000,-66.20,-0.0946,0.35,0,-116.33,-175.30,0,4,0,0,0,0
0_0,0_0,1,0, fk7,04-07 01:00:42,04-07 01:11:09,none,none,none,none,0.00,04-07 01:12:15,1,N410830272,HIPPOUSDT,long,stopLoss,,-38.65,-0.0552,134.56,0.1922,-38.65,-0.0946,0.35,0,-92.05,-214.51,0,5,0,0,0,0
0_0,0_0,0,2, fk7,04-07 00:48:28,04-07 00:48:38,none,none,none,none,0.00,04-07 01:12:15,23,N106855404,FUNUSDT,short,stopLoss,,-35.67,-0.0485,2.55,0.0037,-35.67,-0.0485,0.35,0,-57.59,-108.34,0,6,0,0,0,0
0_0,0_0,1,0, fk7,04-07 01:00:42,04-07 01:12:20,none,none,none,none,0.00,04-07 01:13:41,1,N410830272,HIPPOUSDT,long,stopLoss,,-41.09,-0.0587,43.93,0.0628,-41.09,-0.0946,0.35,0,-62.34,-256.16,0,7,0,0,0,0
0_0,0_0,0,1, fk7,04-07 01:21:07,04-07 01:21:17,none,none,none,none,0.00,04-07 02:26:55,65,N434688334,ARCUSDT,short,stopLoss,,-35.02,-0.0476,11.38,0.0165,-35.02,-0.0476,0.35,0,9.45,-327.97,0,8,0,0,0,0
0_0,0_0,0,8, fk7,04-07 01:43:18,04-07 01:43:28,none,none,none,none,0.00,04-07 02:30:16,46,N331023709,1000WHYUSDT,short,stopLoss,,-35.70,-0.0485,0.00,0.0000,-35.70,-0.0485,0.35,0,54.71,-364.23,0,9,0,0,0,0
0_0,0_0,0,16, fk7,04-07 02:30:15,04-07 02:30:25,none,none,none,none,0.00,04-07 04:05:40,95,N467989969,SPXUSDT,short,stopLoss,,-35.10,-0.0477,17.98,0.0264,-35.10,-0.0477,0.35,0,40.88,-399.89,0,10,0,0,0,0
0_0,0_0,0,1, fk7,04-07 00:30:07,04-07 00:30:17,none,none,none,none,0.00,04-07 04:39:25,249,N444840761,ALCHUSDT,short,stopEarn,,30.69,0.0459,67.99,0.1076,-5.82,-0.0083,0.35,0,196.87,-369.76,0,10,0,0,0,0
0_0,0_0,0,8, fk7,04-07 01:43:18,04-07 01:43:28,none,none,none,none,0.00,04-07 06:12:00,268,N598309653,GTCUSDT,short,stopEarn,,14.40,0.0210,43.21,0.0658,-11.52,-0.0162,0.35,0,-29.27,-355.91,0,10,0,0,0,0
0_0,0_0,0,2, fk7,04-07 01:35:24,04-07 01:35:34,none,none,none,none,0.00,04-07 08:06:16,390,N701072588,USTCUSDT,short,stopEarn,,14.97,0.0219,40.94,0.0621,-8.88,-0.0125,0.35,0,168.43,-341.50,0,10,0,0,0,0
0_0,0_0,0,3, fk7,04-07 01:41:16,04-07 01:41:26,none,none,none,none,0.00,04-07 08:29:36,408,N752797602,TROYUSDT,short,stopEarn,,14.11,0.0206,38.58,0.0583,-13.17,-0.0185,0.35,0,148.24,-327.95,0,10,0,0,0,0
