SLstatus,same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
0,0_0,0_0,12,0, fk2,04-14 10:48:32,04-14 10:48:42,none,none,none,none,0.00,04-14 13:15:40,146,N549283413,BIDUSDT,long,stopLoss,,-54.54,-0.0779,2.54,0.0036,-56.40,-0.0806,0.35,0,45.10,-55.10,0,1,0,0,0,0
0,0_0,0_0,12,0, fk2,04-14 10:48:31,04-14 10:48:41,none,none,none,none,0.00,04-14 13:55:45,187,N851252939,STOUSDT,long,stopEarn,,27.35,0.0391,72.71,0.1039,-18.00,-0.0257,0.35,0,33.68,-28.30,0,1,0,0,0,0
0,0_0,0_0,5,6, fk2,04-14 13:33:27,04-14 13:33:57,none,none,none,none,0.00,04-14 15:45:07,131,N239668169,BRUSDT,short,stopEarn,,33.33,0.0500,76.92,0.1235,-5.13,-0.0073,0.35,0,9.93,4.47,0,1,0,0,0,0
0,0_0,0_0,0,13, fk2,04-14 11:50:42,04-14 11:51:12,none,none,none,none,0.00,04-14 17:54:19,363,N341814733,ANIMEUSDT,short,stopLoss,,-70.95,-0.0920,14.19,0.0207,-70.95,-0.0920,0.35,0,-73.00,-67.04,0,2,0,0,0,0
0,0_0,0_0,1,3, fk2,04-14 15:47:07,04-14 15:47:17,none,none,none,none,0.00,04-14 20:18:59,271,N835428969,GUNUSDT,long,oppo,,-43.35,-0.0619,26.78,0.0383,-45.90,-0.0656,0.35,0,-52.38,-110.95,0,2,0,0,1,0
0,0_0,0_0,4,10, fk2,04-14 12:30:55,04-14 12:31:05,none,none,none,none,0.00,04-14 21:32:41,541,N720701229,AVAAIUSDT,long,stopEarn,,137.10,0.1959,168.58,0.2408,-2.01,-0.0029,0.35,0,64.38,69.50,0,2,0,0,1,0
0,0_0,0_0,1,23, fk2,04-14 13:55:50,04-14 13:56:00,none,none,none,none,0.00,04-14 21:51:03,475,N926396292,COWUSDT,long,oppo,,-40.32,-0.0576,1.13,0.0016,-45.99,-0.0657,0.35,0,61.40,28.62,0,2,0,0,2,0
0,0_0,0_0,7,3, fk2,04-14 13:18:54,04-14 13:19:04,none,none,none,none,0.00,04-14 22:17:39,538,N668065581,POPCATUSDT,long,stopEarn,,4.94,0.0071,36.36,0.0519,-36.62,-0.0523,0.35,0,130.28,73.88,0,2,0,0,2,0
0,0_0,0_0,2,27, fk2,04-14 13:48:20,04-14 13:48:30,none,none,none,none,0.00,04-14 23:00:35,552,N873862751,PROMPTUSDT,short,stopEarn,,28.35,0.0422,63.23,0.0993,-39.98,-0.0540,0.35,0,70.38,101.67,0,2,0,0,2,0
0,0_0,0_0,9,2, fk2,04-14 12:50:47,04-14 12:50:57,none,none,none,none,0.00,04-14 23:05:26,614,N992971851,FARTCOINUSDT,long,stopEarn,,20.85,0.0298,67.55,0.0965,-35.07,-0.0501,0.35,0,90.14,121.95,0,2,0,0,2,0
0,0_0,0_0,2,16, fk2,04-14 12:20:40,04-14 12:20:58,none,none,none,none,0.00,04-15 00:11:52,710,N349174775,1000000MOGUSDT,long,stopLoss,,-41.04,-0.0586,19.89,0.0284,-43.98,-0.0628,0.35,0,273.34,80.36,0,3,0,0,2,0
0,0_0,0_0,0,9, fk2,04-14 21:40:16,04-14 21:40:26,none,none,none,none,0.00,04-15 00:34:58,174,N806384570,MUBARAKUSDT,short,stopEarn,,13.94,0.0203,80.88,0.1306,-22.31,-0.0309,0.35,0,273.05,93.74,0,3,0,0,2,0
0,0_0,0_0,5,2, fk2,04-14 11:06:07,04-14 11:06:17,none,none,none,none,0.00,04-15 01:00:31,834,N521048455,VINEUSDT,long,oppo,,-28.31,-0.0404,22.96,0.0328,-42.81,-0.0612,0.35,0,242.55,64.87,0,3,0,0,3,0
0,0_0,0_0,3,7, fk2,04-14 11:42:30,04-14 11:42:40,none,none,none,none,0.00,04-15 01:40:07,837,N742758900,AIXBTUSDT,short,stopEarn,,18.66,0.0274,40.33,0.0611,-32.05,-0.0438,0.35,0,216.20,111.84,0,3,0,0,3,0
0,0_0,0_0,0,9, fk2,04-14 13:55:50,04-14 21:51:08,none,none,none,none,0.00,04-15 01:51:09,240,N926396292,COWUSDT,short,stopEarn,,28.60,0.0426,37.97,0.0574,-7.21,-0.0657,0.35,0,217.81,99.00,0,3,0,0,3,0
0,0_0,0_0,0,19, fk2,04-14 15:47:07,04-14 20:19:04,none,none,none,none,0.00,04-15 02:15:14,356,N835428969,GUNUSDT,short,stopEarn,,0.00,0.0000,34.05,0.0511,-28.60,-0.0656,0.35,0,167.60,54.52,0,3,0,0,3,0
0,0_0,0_0,3,1, fk2,04-14 22:17:44,04-14 22:17:54,none,none,none,none,0.00,04-15 03:05:36,287,N172435731,LISTAUSDT,long,stopEarn,,32.03,0.0458,65.60,0.0937,-15.82,-0.0226,0.35,0,287.93,85.99,0,3,0,0,3,0
0,0_0,0_0,44,2, fk2,04-14 23:00:40,04-14 23:00:50,none,none,none,none,0.00,04-15 03:45:32,284,N195453809,FUNUSDT,long,stopEarn,,8.16,0.0117,41.43,0.0592,-10.88,-0.0155,0.35,0,273.12,93.59,0,3,0,0,3,0
0,0_0,0_0,2,3, fk2,04-15 00:55:19,04-15 00:55:29,none,none,none,none,0.00,04-15 03:51:05,175,N684695168,KOMAUSDT,long,stopLoss,,-35.84,-0.0512,14.26,0.0204,-38.40,-0.0549,0.35,0,254.33,57.19,0,4,0,0,3,0
0,0_0,0_0,11,5, fk2,04-14 23:05:31,04-14 23:05:41,none,none,none,none,0.00,04-15 04:25:25,319,N283300118,PUMPUSDT,short,stopEarn,,66.32,0.1047,96.80,0.1605,-3.79,-0.0054,0.35,0,104.96,122.95,0,4,0,0,3,0
0,0_0,0_0,4,8, fk2,04-14 11:40:43,04-14 11:40:53,none,none,none,none,0.00,04-15 04:30:28,1009,N690929905,SIRENUSDT,long,oppo,,-20.23,-0.0289,21.48,0.0307,-34.73,-0.0496,0.35,0,85.76,102.16,0,4,0,0,4,0
0,0_0,0_0,1,26, fk2,04-15 00:34:05,04-15 00:34:15,none,none,none,none,0.00,04-15 04:35:27,241,N995269460,ACTUSDT,short,stopEarn,,47.25,0.0595,187.98,0.2878,-38.64,-0.0523,0.35,0,97.51,148.72,0,4,0,0,4,0
0,0_0,0_0,8,2, fk2,04-15 02:33:25,04-15 02:33:35,none,none,none,none,0.00,04-15 06:16:02,222,N715523982,FARTCOINUSDT,long,stopEarn,,16.32,0.0233,50.04,0.0715,-4.97,-0.0071,0.35,0,94.99,164.48,0,4,0,0,4,0
0,0_0,0_0,0,14, fk2,04-14 12:00:25,04-14 12:01:45,none,none,none,none,0.00,04-15 09:46:32,1304,N388242911,VICUSDT,short,oppo,,-26.13,-0.0360,7.47,0.0108,-33.23,-0.0453,0.35,0,182.68,137.79,0,4,0,0,5,0
0,0_0,0_0,2,2, fk2,04-15 02:15:40,04-15 02:15:50,none,none,none,none,0.00,04-15 11:01:33,525,N397228468,XCNUSDT,long,oppo,,-39.06,-0.0558,8.08,0.0115,-44.44,-0.0635,0.35,0,153.57,124.86,0,4,0,0,6,0
0,0_0,0_0,4,8, fk2,04-14 11:40:43,04-14 11:40:53,none,none,none,none,0.00,04-15 11:24:29,1423,N353368768,FETUSDT,short,stopEarn,,14.54,0.0212,25.26,0.0374,-17.08,-0.0238,0.35,0,211.26,178.46,0,4,0,0,6,0
0,0_0,0_0,2,3, fk2,04-14 11:06:07,04-15 01:00:37,none,none,none,none,0.00,04-15 11:33:44,633,N521048455,VINEUSDT,short,stopEarn,,23.20,0.0343,44.96,0.0686,-22.12,-0.0612,0.35,0,206.88,172.23,0,4,0,0,6,0
0,0_0,0_0,4,11, fk2,04-15 04:25:31,04-15 04:25:41,none,none,none,none,0.00,04-15 12:01:25,455,N100931443,SPXUSDT,short,stopEarn,,13.61,0.0198,26.95,0.0400,-14.16,-0.0198,0.35,0,183.63,185.28,0,4,0,0,6,0
0,0_0,0_0,6,2, fk2,04-15 03:52:55,04-15 03:53:05,none,none,none,none,0.00,04-15 12:12:58,499,N397625575,POPCATUSDT,long,oppo,,-43.04,-0.0615,23.91,0.0342,-46.06,-0.0658,0.35,0,154.27,141.68,0,4,0,0,7,0
0,0_0,0_0,4,5, fk2,04-15 03:05:41,04-15 03:05:51,none,none,none,none,0.00,04-15 13:35:21,629,N796897820,BRETTUSDT,long,stopEarn,,41.77,0.0597,70.87,0.1012,-18.81,-0.0269,0.35,0,174.44,226.49,0,4,0,0,7,0
0,0_0,0_0,4,28, fk2,04-15 04:32:23,04-15 04:32:33,none,none,none,none,0.00,04-15 13:46:19,553,N311835203,AIXBTUSDT,short,stopEarn,,13.37,0.0195,24.05,0.0356,-10.85,-0.0153,0.35,0,186.04,239.30,0,4,0,0,7,0
0,0_0,0_0,0,19, fk2,04-14 17:56:08,04-14 17:56:29,none,none,none,none,0.00,04-15 14:59:01,1262,N661651342,ZEREBROUSDT,short,stopEarn,,13.53,0.0197,30.43,0.0455,-43.96,-0.0591,0.35,0,214.55,252.27,0,4,0,0,7,0
0,0_0,0_0,7,2, fk2,04-14 13:08:54,04-14 13:09:04,none,none,none,none,0.00,04-15 15:10:17,1561,N199272477,DEGOUSDT,long,stopEarn,,13.65,0.0195,24.68,0.0353,-38.81,-0.0554,0.35,0,212.09,265.36,0,4,0,0,7,0
0,0_0,0_0,3,15, fk2,04-15 06:18:02,04-15 06:18:12,none,none,none,none,0.00,04-15 17:08:48,650,N790836781,GRIFFAINUSDT,short,oppo,,-24.60,-0.0339,17.22,0.0252,-27.79,-0.0382,0.35,0,208.55,240.20,0,4,0,0,8,0
0,0_0,0_0,10,0, fk2,04-15 11:40:28,04-15 11:40:39,none,none,none,none,0.00,04-15 18:10:49,390,N415257523,PHAUSDT,long,stopEarn,,12.41,0.0177,33.43,0.0478,-11.71,-0.0167,0.35,0,237.88,277.21,0,4,0,0,8,0
0,0_0,0_0,6,3, fk2,04-15 03:45:37,04-15 03:45:47,none,none,none,none,0.00,04-15 18:39:56,894,N218551143,VIRTUALUSDT,long,stopEarn,,31.24,0.0446,62.24,0.0889,-18.28,-0.0261,0.35,0,204.52,307.89,0,4,0,0,8,0
0,0_0,0_0,13,4, fk2,04-15 06:18:02,04-15 17:08:53,none,none,none,none,0.00,04-15 20:20:57,192,N790836781,GRIFFAINUSDT,long,oppo,,-24.95,-0.0356,6.18,0.0088,-30.65,-0.0438,0.35,0,236.07,257.23,0,4,0,0,9,0
0,0_0,0_0,3,15, fk2,04-14 12:00:25,04-15 09:46:37,none,none,none,none,0.00,04-15 20:30:22,643,N388242911,VICUSDT,long,stopEarn,,14.02,0.0200,38.47,0.0550,-11.15,-0.0453,0.35,0,226.35,294.66,0,4,0,0,9,0
0,0_0,0_0,11,0, fk2,04-15 13:46:24,04-15 13:46:34,none,none,none,none,0.00,04-15 20:30:57,404,N958695728,FARTCOINUSDT,long,oppo,,-38.06,-0.0544,9.48,0.0135,-44.33,-0.0633,0.35,0,187.05,256.04,0,4,0,0,10,0
