same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
203_16,17_121,6,0, fk6,02-22 21:13:15,02-22 21:14:15,none,none,none,none,0.0,02-22 22:36:25,82,N875876982,VINEUSDT,long,stopLoss,,-35.42,-0.0506,22.38,0.032,-35.42,-0.0506,0.35,0,62.32,89.84,0,1,0,0,0,0
73_71,56_56,1,2, fk6,02-22 22:47:04,02-22 22:47:14,none,none,none,none,0.0,02-22 23:20:40,33,N308045526,SOLVUSDT,long,stopLoss,,-36.21,-0.0517,1.72,0.0025,-36.21,-0.0517,0.35,0,194.65,173.47,0,2,0,0,0,0
231_13,56_52,8,0, fk6,02-22 21:18:49,02-22 21:18:59,none,none,none,none,0.0,02-22 23:29:28,130,N903177441,TIAUSDT,long,stopLoss,,-35.38,-0.0505,2.55,0.0036,-35.38,-0.0505,0.35,0,162.39,202.55,0,3,0,0,0,0
45_105,134_7,1,2, fk6,02-22 22:41:25,02-22 22:41:35,none,none,none,none,0.0,02-23 00:04:37,83,N807629242,1000RATSUSDT,short,stopLoss,,-36.95,-0.0501,9.24,0.0134,-36.95,-0.0501,0.35,0,264.9,232.93,0,4,0,0,0,0
45_128,143_11,4,1, fk6,02-22 23:03:30,02-22 23:03:40,none,none,none,none,0.0,02-23 00:10:14,66,N936749141,ARCUSDT,long,stopLoss,,-35.3,-0.0504,18.64,0.0266,-35.3,-0.0504,0.35,0,163.76,197.07,0,5,0,0,0,0
81_59,132_12,2,1, fk6,02-22 22:25:11,02-22 22:25:21,none,none,none,none,0.0,02-23 00:14:14,108,N825841917,XVSUSDT,short,stopLoss,,-36.89,-0.0501,6.84,0.0099,-36.89,-0.0501,0.35,0,164.86,159.62,0,6,0,0,0,0
203_16,183_9,6,0, fk6,02-22 21:13:15,02-22 21:14:15,none,none,none,none,0.0,02-23 00:22:09,187,N524807127,RUNEUSDT,long,stopLoss,,-36.38,-0.052,14.92,0.0213,-36.38,-0.052,0.35,0,190.15,189.86,0,7,0,0,0,0
162_10,241_17,18,0, fk6,02-23 00:20:13,02-23 00:20:23,none,none,none,none,0.0,02-23 00:52:10,31,N248069941,VINEUSDT,long,stopLoss,,-35.74,-0.0511,18.55,0.0265,-35.74,-0.0511,0.35,0,249.33,248.05,0,8,0,0,0,0
134_8,205_17,11,0, fk6,02-23 00:06:30,02-23 00:06:40,none,none,none,none,0.0,02-23 01:32:46,86,N841273850,PIPPINUSDT,long,stopLoss,,-35.09,-0.0501,22.31,0.0319,-35.09,-0.0501,0.35,0,141.66,245.13,0,9,0,0,0,0
84_59,244_16,6,1, fk6,02-22 22:08:58,02-22 22:09:08,none,none,none,none,0.0,02-23 01:34:18,205,N425653499,GRIFFAINUSDT,long,oppo,,-26.48,-0.0378,27.83,0.0398,-32.53,-0.0465,0.35,0,208.78,253.73,0,9,0,0,1,0
257_11,244_16,8,0, fk6,02-23 01:15:02,02-23 01:15:12,none,none,none,none,0.0,02-23 01:35:24,20,N764075202,BANUSDT,long,stopLoss,,-35.07,-0.0501,11.98,0.0171,-35.07,-0.0501,0.35,0,215.02,245.15,0,10,0,0,1,0
244_16,154_26,6,2, fk6,02-23 01:35:30,02-23 01:35:40,none,none,none,none,0.0,02-23 02:40:14,64,N138120231,TSTUSDT,long,stopLoss,,-37.99,-0.0543,20.55,0.0294,-37.99,-0.0543,0.35,0,96.2,210.01,0,11,0,0,1,0
137_10,70_27,11,0, fk6,02-23 00:12:05,02-23 00:12:15,none,none,none,none,0.0,02-23 02:40:26,148,N256053302,ZEREBROUSDT,long,oppo,,-31.58,-0.0451,31.58,0.0451,-33.33,-0.0476,0.35,0,135.99,216.42,0,11,0,0,2,0
