date,main,fast,earn,total,Lc,Sc,hl1,hl2,hl3,hl4,hl5,hl7,hl8,fk1,fk2,fk3,fk4,fk5,fk7,fk8
2025-04-13 13:48,(0 0),(0 0),0.00,0.00,0,0,(2 10),(2 10),(9 15),(0 1),(12 285),(0 0),(2 13),(3 11),(3 11),(14 123),(0 2),(8 97),(2 0),(3 47)
2025-04-13 13:49,(0 0),(0 0),-0.69,-0.69,1,2,(2 10),(2 10),(8 16),(0 1),(12 291),(0 0),(2 11),(2 16),(2 16),(14 123),(0 2),(9 103),(2 0),(3 47)
2025-04-13 13:50,(0 0),(0 0),0.32,0.32,1,2,(2 10),(2 10),(8 16),(0 1),(13 294),(0 0),(2 11),(2 17),(2 17),(14 124),(0 2),(9 104),(2 0),(3 47)
2025-04-13 13:51,(0 0),(0 0),-2.99,-2.99,1,3,(2 8),(2 8),(8 15),(0 1),(12 293),(0 0),(3 12),(3 12),(3 12),(14 124),(1 2),(10 102),(1 0),(5 46)
2025-04-13 13:52,(0 0),(0 0),-4.52,-4.52,1,3,(2 9),(2 9),(9 16),(0 1),(12 289),(0 0),(4 13),(3 12),(3 12),(14 123),(1 2),(10 101),(1 0),(5 45)
2025-04-13 13:53,(0 0),(0 0),-5.26,-5.26,1,3,(3 8),(3 8),(8 15),(0 1),(10 287),(0 0),(3 13),(3 16),(3 16),(15 120),(1 2),(11 107),(1 0),(5 48)
2025-04-13 13:54,(0 0),(0 0),2.92,2.92,1,3,(3 9),(3 9),(8 15),(0 1),(10 288),(0 0),(2 13),(3 16),(3 16),(15 120),(1 2),(11 107),(1 0),(5 48)
2025-04-13 13:55,(0 0),(0 0),-3.70,-3.70,1,3,(4 7),(4 7),(10 16),(0 1),(11 277),(0 0),(3 59),(4 14),(4 14),(14 120),(1 2),(10 98),(1 0),(5 47)
2025-04-13 13:56,(0 0),(0 0),1.39,1.39,2,3,(5 6),(5 6),(12 17),(0 1),(11 267),(0 0),(2 93),(4 14),(4 14),(14 120),(1 2),(10 98),(1 0),(5 47)
2025-04-13 13:57,(0 0),(0 0),3.32,3.32,2,3,(5 10),(5 10),(12 17),(0 1),(11 273),(0 0),(1 96),(4 17),(4 17),(14 122),(1 2),(10 103),(0 0),(5 47)
2025-04-13 13:58,(0 0),(0 0),6.16,6.16,2,5,(4 12),(4 12),(12 17),(0 1),(10 274),(0 0),(1 101),(4 17),(4 17),(14 122),(1 2),(10 103),(0 0),(5 47)
2025-04-13 13:59,(0 0),(0 0),4.83,4.83,2,5,(4 8),(4 8),(12 17),(0 1),(10 263),(0 0),(0 82),(3 13),(3 13),(14 120),(0 2),(11 93),(1 0),(4 45)
2025-04-13 14:00,(0 0),(0 0),0.85,0.85,2,5,(4 8),(4 8),(11 17),(0 1),(9 258),(0 0),(1 66),(3 13),(3 13),(14 120),(0 2),(11 93),(1 0),(4 45)
2025-04-13 14:01,(0 0),(0 0),-1.55,-1.55,2,5,(4 7),(4 7),(12 14),(0 1),(11 239),(0 0),(3 59),(2 13),(2 13),(17 111),(1 1),(12 81),(1 0),(5 50)
