SLstatus,same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
0,0_0,0_0,2,1, fk2,04-24 13:11:59,04-24 13:12:19,none,none,none,none,0.00,04-24 13:52:19,40,N700796838,HIFIUSDT,long,stopEarn,,7.28,0.0104,19.21,0.0274,-1.99,-0.0028,0.35,0,-35.25,6.72,0,0,0,0,0,0
0,0_0,0_0,0,3, fk2,04-24 13:13:59,04-24 13:14:09,none,none,none,none,0.00,04-24 14:06:29,52,N936216490,BOMEUSDT,short,stopLoss,,-22.97,-0.0318,13.48,0.0196,-22.97,-0.0318,0.35,0,-41.31,-16.80,0,1,0,0,0,0
0,0_0,0_0,2,1, fk2,04-24 13:11:29,04-24 13:12:19,none,none,none,none,0.00,04-24 14:11:31,59,N692601322,SANDUSDT,short,stopEarn,,15.13,0.0221,20.04,0.0295,-1.53,-0.0022,0.35,0,-61.65,-2.23,0,1,0,0,0,0
0,0_0,0_0,3,1, fk2,04-24 13:50:05,04-24 13:50:15,none,none,none,none,0.00,04-24 15:16:08,85,N936846193,SUIUSDT,long,stopEarn,,15.09,0.0216,20.13,0.0288,-10.04,-0.0143,0.35,0,-26.41,12.29,0,1,0,0,0,0
0,0_0,0_0,1,4, fk2,04-24 13:44:04,04-24 13:44:14,none,none,none,none,0.00,04-24 15:16:24,92,N249112228,WALUSDT,long,stopEarn,,13.36,0.0191,18.04,0.0258,-5.08,-0.0073,0.35,0,-32.97,25.10,0,1,0,0,0,0
0,0_0,0_0,3,1, fk2,04-24 14:02:07,04-24 14:02:17,none,none,none,none,0.00,04-24 15:27:12,84,N795252378,TAOUSDT,long,stopLoss,,-21.03,-0.0300,1.20,0.0017,-21.03,-0.0300,0.35,0,-42.86,3.50,0,2,0,0,0,0
0,0_0,0_0,7,8, fk2,04-24 15:16:13,04-24 15:16:23,none,none,none,none,0.00,04-24 16:14:38,58,N735506840,MEMEUSDT,long,stopLoss,,-23.44,-0.0335,0.00,0.0000,-23.44,-0.0335,0.35,0,-24.88,-20.50,0,3,0,0,0,0
0,0_0,0_0,11,8, fk2,04-24 15:27:17,04-24 15:27:27,none,none,none,none,0.00,04-24 16:20:23,52,N231578378,EPTUSDT,long,stopEarn,,14.68,0.0210,17.89,0.0256,-20.61,-0.0294,0.35,0,-26.67,-6.38,0,3,0,0,0,0
0,0_0,0_0,1,4, fk2,04-24 13:38:03,04-24 13:38:13,none,none,none,none,0.00,04-24 16:38:20,180,N943977127,IMXUSDT,short,stopEarn,,12.06,0.0175,16.00,0.0234,-7.14,-0.0101,0.35,0,-25.13,5.12,0,3,0,0,0,0
0,0_0,0_0,2,1, fk2,04-24 13:11:29,04-24 13:12:19,none,none,none,none,0.00,04-24 16:43:49,211,N482587479,GASUSDT,long,stopLoss,,-21.03,-0.0300,2.83,0.0040,-21.03,-0.0300,0.35,0,-13.73,-16.47,0,4,0,0,0,0
0,0_0,0_0,4,1, fk2,04-24 13:48:05,04-24 13:48:15,none,none,none,none,0.00,04-24 16:48:44,180,N259471397,UXLINKUSDT,long,stopLoss,,-21.16,-0.0302,0.45,0.0006,-21.16,-0.0302,0.35,0,0.89,-38.18,0,5,0,0,0,0
0,0_0,0_0,1,5, fk2,04-24 14:10:09,04-24 14:10:29,none,none,none,none,0.00,04-24 16:51:01,160,N680577256,SUPERUSDT,short,stopEarn,,11.01,0.0160,14.68,0.0214,-9.01,-0.0127,0.35,0,-13.78,-27.73,0,5,0,0,0,0
0,0_0,0_0,3,139, fk2,04-24 16:14:43,04-24 16:14:53,none,none,none,none,0.00,04-24 16:54:53,40,N187273673,MUBARAKUSDT,short,stopEarn,,5.14,0.0074,13.98,0.0204,-8.63,-0.0122,0.35,0,-14.38,-23.15,0,5,0,0,0,0
0,0_0,0_0,0,5, fk2,04-24 13:22:01,04-24 13:22:11,none,none,none,none,0.00,04-24 16:55:31,213,N288118843,LINKUSDT,short,stopEarn,,10.90,0.0158,14.53,0.0212,-5.28,-0.0075,0.35,0,-25.00,-12.82,0,5,0,0,0,0
0,0_0,0_0,1,5, fk2,04-24 14:11:36,04-24 14:11:46,none,none,none,none,0.00,04-24 17:01:14,169,N184485337,MANAUSDT,short,stopEarn,,13.25,0.0193,17.59,0.0258,-15.76,-0.0220,0.35,0,-15.82,-0.13,0,5,0,0,0,0
0,0_0,0_0,0,5, fk2,04-24 13:22:01,04-24 13:22:11,none,none,none,none,0.00,04-24 17:06:26,224,N797530919,UNIUSDT,short,stopEarn,,16.47,0.0241,21.87,0.0323,-5.17,-0.0073,0.35,0,-1.78,15.78,0,5,0,0,0,0
0,0_0,0_0,2,203, fk2,04-24 16:54:58,04-24 16:55:08,none,none,none,none,0.00,04-24 17:35:08,40,N276128136,EPTUSDT,long,stopEarn,,-19.60,-0.0280,39.47,0.0564,-27.85,-0.0398,0.35,0,-53.83,-4.38,0,5,0,0,0,0
0,0_0,0_0,2,207, fk2,04-24 16:48:49,04-24 16:48:59,none,none,none,none,0.00,04-24 17:40:15,51,N673689690,MAVIAUSDT,short,stopEarn,,16.65,0.0244,22.29,0.0329,-3.57,-0.0051,0.35,0,-52.40,11.70,0,5,0,0,0,0
0,0_0,0_0,3,83, fk2,04-24 17:01:19,04-24 17:01:29,none,none,none,none,0.00,04-24 17:59:02,57,N220096856,FHEUSDT,short,stopLoss,,-22.73,-0.0315,7.87,0.0114,-22.73,-0.0315,0.35,0,-63.92,-11.59,0,6,0,0,0,0
0,0_0,0_0,2,3, fk2,04-24 13:40:04,04-24 13:40:14,none,none,none,none,0.00,04-24 18:38:53,298,N845540732,NKNUSDT,long,stopEarn,,23.94,0.0342,33.20,0.0474,-32.80,-0.0469,0.35,0,-51.46,11.80,0,6,0,0,0,0
0,0_0,0_0,5,6, fk2,04-24 17:35:13,04-24 17:35:23,none,none,none,none,0.00,04-24 19:33:23,118,N319424478,SWARMSUSDT,short,stopLoss,,-42.55,-0.0573,8.12,0.0117,-42.55,-0.0573,0.35,0,-58.11,-31.32,0,7,0,0,0,0
0,0_0,0_0,2,203, fk2,04-24 16:55:36,04-24 16:55:46,none,none,none,none,0.00,04-24 19:46:29,170,N344821804,XCNUSDT,short,stopLoss,,-42.24,-0.0569,7.49,0.0108,-42.24,-0.0569,0.35,0,-80.06,-74.11,0,8,0,0,0,0
0,0_0,0_0,2,212, fk2,04-24 16:51:06,04-24 16:51:16,none,none,none,none,0.00,04-24 20:11:00,199,N162223152,HIPPOUSDT,short,stopEarn,,10.77,0.0156,13.94,0.0203,-26.61,-0.0366,0.35,0,-80.21,-63.90,0,8,0,0,0,0
0,0_0,0_0,4,8, fk2,04-24 19:33:28,04-24 19:33:38,none,none,none,none,0.00,04-24 20:13:38,40,N750456332,ALCHUSDT,long,stopEarn,,7.97,0.0114,18.11,0.0259,-1.64,-0.0023,0.35,0,-74.54,-56.50,0,8,0,0,0,0
0,0_0,0_0,5,7, fk2,04-24 19:46:34,04-24 19:46:44,none,none,none,none,0.00,04-24 20:26:44,40,N387627746,CETUSUSDT,long,stopEarn,,9.83,0.0140,14.11,0.0202,-1.46,-0.0021,0.35,0,-85.36,-47.23,0,8,0,0,0,0
0,0_0,0_0,6,3, fk2,04-24 20:13:43,04-24 20:13:53,none,none,none,none,0.00,04-24 20:51:09,37,N100133876,TUSDT,long,stopLoss,,-21.42,-0.0306,6.50,0.0093,-21.42,-0.0306,0.35,0,-104.05,-69.21,0,9,0,0,0,0
0,0_0,0_0,5,46, fk2,04-24 17:06:31,04-24 17:06:41,none,none,none,none,0.00,04-24 21:05:11,238,N461864626,ARKUSDT,long,stopLoss,,-21.04,-0.0301,1.94,0.0028,-21.04,-0.0301,0.35,0,-149.20,-90.81,0,10,0,0,0,0
0,0_0,0_0,0,194, fk2,04-24 16:43:54,04-24 16:44:04,none,none,none,none,0.00,04-24 21:05:40,261,N265063571,TUTUSDT,short,stopEarn,,15.20,0.0222,20.18,0.0297,-8.39,-0.0118,0.35,0,-150.51,-76.17,0,10,0,0,0,0
0,0_0,0_0,3,8, fk2,04-24 17:40:20,04-24 17:40:30,none,none,none,none,0.00,04-24 21:30:58,230,N550764967,USUALUSDT,short,stopLoss,,-21.31,-0.0295,5.33,0.0077,-21.31,-0.0295,0.35,0,-212.13,-98.04,0,11,0,0,0,0
0,0_0,0_0,0,5, fk2,04-24 13:22:01,04-24 13:22:11,none,none,none,none,0.00,04-24 22:04:04,521,N166313967,ONDOUSDT,short,stopLoss,,-21.27,-0.0295,9.96,0.0144,-21.27,-0.0295,0.35,0,-221.24,-119.88,0,12,0,0,0,0
0,0_0,0_0,6,5, fk2,04-24 21:05:45,04-24 21:05:55,none,none,none,none,0.00,04-24 22:04:21,58,N656373925,PIPPINUSDT,short,stopLoss,,-21.14,-0.0293,0.00,0.0000,-21.14,-0.0293,0.35,0,-225.89,-141.58,0,13,0,0,0,0
0,0_0,0_0,4,4, fk2,04-24 20:51:14,04-24 20:51:24,none,none,none,none,0.00,04-24 22:10:28,79,N830423974,POPCATUSDT,long,stopEarn,,11.56,0.0165,15.41,0.0220,-16.42,-0.0235,0.35,0,-218.93,-130.59,0,13,0,0,0,0
0,0_0,0_0,1,4, fk2,04-24 13:38:03,04-24 13:38:13,none,none,none,none,0.00,04-24 22:13:19,515,N140985451,LAYERUSDT,long,stopLoss,,-21.47,-0.0307,11.01,0.0157,-21.47,-0.0307,0.35,0,-229.52,-152.61,0,14,0,0,0,0
0,0_0,0_0,3,4, fk2,04-24 17:59:07,04-24 17:59:17,none,none,none,none,0.00,04-24 22:29:31,270,N490591981,GRIFFAINUSDT,long,stopEarn,,13.92,0.0199,18.56,0.0265,-39.43,-0.0563,0.35,0,-157.64,-139.26,0,14,0,0,0,0
0,0_0,0_0,5,3, fk2,04-24 20:11:05,04-24 20:11:15,none,none,none,none,0.00,04-24 22:41:52,150,N985518660,FORTHUSDT,long,stopEarn,,13.04,0.0186,17.56,0.0251,-10.38,-0.0148,0.35,0,-170.19,-126.78,0,14,0,0,0,0
0,0_0,0_0,22,3, fk2,04-24 22:04:26,04-24 22:04:36,none,none,none,none,0.00,04-24 22:44:57,40,N358198960,AVAAIUSDT,long,stopEarn,,22.26,0.0318,30.88,0.0441,-1.21,-0.0017,0.35,0,-165.81,-105.08,0,14,0,0,0,0
0,0_0,0_0,21,2, fk2,04-24 22:13:24,04-24 22:13:34,none,none,none,none,0.00,04-24 23:09:44,56,N560754106,DEEPUSDT,short,stopLoss,,-42.08,-0.0567,12.00,0.0174,-42.08,-0.0567,0.35,0,-188.11,-147.72,0,15,0,0,0,0
0,0_0,0_0,24,1, fk2,04-24 22:29:36,04-24 22:29:46,none,none,none,none,0.00,04-24 23:17:29,47,N848573215,SUIUSDT,long,stopEarn,,41.35,0.0591,55.45,0.0792,-0.41,-0.0006,0.35,0,-203.48,-106.93,0,15,0,0,0,0
0,0_0,0_0,1,0, fk2,04-24 18:38:58,04-24 18:39:08,none,none,none,none,0.00,04-24 23:17:38,278,N141004844,CRVUSDT,long,stopEarn,,16.35,0.0234,22.48,0.0321,-9.20,-0.0131,0.35,0,-208.59,-91.14,0,15,0,0,0,0
0,0_0,0_0,77,0, fk2,04-24 23:09:49,04-24 23:09:59,none,none,none,none,0.00,04-24 23:50:10,40,N613669592,GPSUSDT,long,stopEarn,,12.27,0.0175,16.70,0.0239,-2.04,-0.0029,0.35,0,-240.64,-79.43,0,15,0,0,0,0
0,0_0,0_0,88,0, fk2,04-24 23:17:43,04-24 23:17:53,none,none,none,none,0.00,04-25 00:04:08,46,N496148396,BANKUSDT,long,stopEarn,,38.48,0.0550,50.34,0.0719,-7.15,-0.0102,0.35,0,-184.83,-41.50,0,15,0,0,0,0
0,0_0,0_0,53,1, fk2,04-24 22:45:02,04-24 22:45:12,none,none,none,none,0.00,04-25 00:10:21,85,N833386637,SWARMSUSDT,long,stopEarn,,10.44,0.0149,14.15,0.0202,-6.26,-0.0089,0.35,0,-170.31,-31.62,0,15,0,0,0,0
0,0_0,0_0,23,1, fk2,04-24 22:10:33,04-24 22:10:43,none,none,none,none,0.00,04-25 00:17:25,126,N887285721,CHESSUSDT,long,stopEarn,,11.41,0.0163,15.25,0.0218,-11.30,-0.0161,0.35,0,-183.17,-20.77,0,15,0,0,0,0
0,0_0,0_0,9,5, fk2,04-24 21:05:16,04-24 21:05:26,none,none,none,none,0.00,04-25 00:22:22,196,N446736976,MOODENGUSDT,short,stopLoss,,-42.36,-0.0571,4.42,0.0063,-42.36,-0.0571,0.35,0,-195.54,-63.69,0,16,0,0,0,0
0,0_0,0_0,0,192, fk2,04-24 16:38:25,04-24 16:38:35,none,none,none,none,0.00,04-25 00:34:38,476,N130935755,PNUTUSDT,short,stopLoss,,-42.03,-0.0566,7.86,0.0114,-42.03,-0.0566,0.35,0,-194.40,-106.28,0,17,0,0,0,0
0,0_0,0_0,3,4, fk2,04-24 20:26:49,04-24 20:26:59,none,none,none,none,0.00,04-25 00:45:20,258,N569037961,1000WHYUSDT,short,stopLoss,,-22.11,-0.0306,5.89,0.0085,-22.11,-0.0306,0.35,0,-194.79,-128.94,0,18,0,0,0,0
0,0_0,0_0,3,103, fk2,04-24 16:20:28,04-24 16:20:38,none,none,none,none,0.00,04-25 00:49:14,508,N514620468,MELANIAUSDT,short,stopLoss,,-42.01,-0.0566,10.70,0.0155,-42.01,-0.0566,0.35,0,-226.02,-171.51,0,19,0,0,0,0
0,0_0,0_0,22,3, fk2,04-24 22:04:09,04-24 22:04:19,none,none,none,none,0.00,04-25 01:13:00,188,N886304931,EPTUSDT,short,stopEarn,,17.21,0.0252,22.95,0.0339,-20.02,-0.0278,0.35,0,-286.09,-154.86,0,19,0,0,0,0
0,0_0,0_0,70,0, fk2,04-25 00:34:43,04-25 00:34:53,none,none,none,none,0.00,04-25 01:14:53,40,N269456765,MYROUSDT,long,stopEarn,,-22.97,-0.0328,16.87,0.0241,-22.97,-0.0328,0.35,0,-319.68,-178.39,0,19,0,0,0,0
0,0_0,0_0,63,1, fk2,04-25 00:49:19,04-25 00:49:29,none,none,none,none,0.00,04-25 01:29:29,40,N949662453,MAGICUSDT,long,stopEarn,,1.39,0.0020,21.19,0.0303,-11.81,-0.0169,0.35,0,-311.71,-177.56,0,19,0,0,0,0
0,0_0,0_0,37,0, fk2,04-24 23:50:15,04-24 23:50:25,none,none,none,none,0.00,04-25 02:07:50,137,N553089924,BSWUSDT,long,stopEarn,,15.73,0.0225,21.41,0.0306,-15.39,-0.0220,0.35,0,-300.56,-162.40,0,19,0,0,0,0
0,0_0,0_0,2,1, fk2,04-25 01:30:16,04-25 01:30:26,none,none,none,none,0.00,04-25 02:10:26,40,N273144302,NMRUSDT,long,stopEarn,,11.38,0.0163,15.57,0.0222,-4.57,-0.0065,0.35,0,-295.46,-151.58,0,19,0,0,0,0
0,0_0,0_0,55,1, fk2,04-24 22:41:57,04-24 22:42:07,none,none,none,none,0.00,04-25 02:45:00,242,N335617824,SYNUSDT,long,stopEarn,,14.30,0.0204,19.24,0.0275,-38.22,-0.0546,0.35,0,-265.58,-137.84,0,19,0,0,0,0
0,0_0,0_0,6,4, fk2,04-25 02:45:05,04-25 02:45:15,none,none,none,none,0.00,04-25 03:25:15,40,N368744661,NKNUSDT,long,stopEarn,,110.26,0.1575,157.93,0.2256,-4.12,-0.0059,0.35,0,-132.05,-28.14,0,19,0,0,0,0
0,0_0,0_0,12,2, fk2,04-25 01:14:58,04-25 01:15:08,none,none,none,none,0.00,04-25 04:14:42,179,N323789778,1000000MOGUSDT,long,stopEarn,,12.72,0.0182,17.42,0.0249,-20.60,-0.0294,0.35,0,-96.94,-15.98,0,19,0,0,0,0
0,0_0,0_0,6,1, fk2,04-25 02:10:05,04-25 02:10:25,none,none,none,none,0.00,04-25 04:16:19,125,N658217115,FLMUSDT,long,stopEarn,,20.00,0.0286,30.00,0.0429,-13.33,-0.0190,0.35,0,-108.80,3.46,0,19,0,0,0,0
0,0_0,0_0,6,4, fk2,04-25 04:14:47,04-25 04:14:57,none,none,none,none,0.00,04-25 04:54:57,40,N461216205,NKNUSDT,long,stopEarn,,51.03,0.0729,86.50,0.1236,-2.90,-0.0041,0.35,0,-26.76,53.93,0,19,0,0,0,0
0,0_0,0_0,6,4, fk2,04-25 03:25:20,04-25 03:25:30,none,none,none,none,0.00,04-25 05:35:16,129,N136042147,NMRUSDT,long,stopEarn,,10.02,0.0143,14.51,0.0207,-5.97,-0.0085,0.35,0,-17.04,63.39,0,19,0,0,0,0
0,0_0,0_0,6,4, fk2,04-25 04:55:02,04-25 04:55:12,none,none,none,none,0.00,04-25 05:42:16,47,N342416877,FORTHUSDT,long,stopEarn,,12.52,0.0179,17.21,0.0246,-1.83,-0.0026,0.35,0,-17.20,75.35,0,19,0,0,0,0
0,0_0,0_0,88,0, fk2,04-24 23:17:34,04-24 23:17:44,none,none,none,none,0.00,04-25 06:05:13,407,N912174371,AERGOUSDT,long,stopEarn,,10.92,0.0156,14.77,0.0211,-21.90,-0.0313,0.35,0,4.51,85.71,0,19,0,0,0,0
0,0_0,0_0,6,4, fk2,04-25 05:35:21,04-25 05:35:31,none,none,none,none,0.00,04-25 06:26:33,51,N955207740,NKNUSDT,long,stopEarn,,11.73,0.0168,15.81,0.0226,-31.45,-0.0449,0.35,0,49.20,96.88,0,19,0,0,0,0
0,0_0,0_0,10,0, fk2,04-25 00:04:13,04-25 00:04:23,none,none,none,none,0.00,04-25 07:00:09,415,N943528317,QUICKUSDT,long,stopEarn,,10.53,0.0150,14.69,0.0210,-15.25,-0.0218,0.35,0,18.39,106.85,0,19,0,0,0,0
