SLstatus,same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
0,0_0,0_0,2,1, fk2,04-24 13:11:58,04-24 13:13:19,none,none,none,none,0.00,04-24 13:53:19,40,N534900935,HIFIUSDT,long,stopEarn,,5.95,0.0085,17.51,0.0250,-3.63,-0.0052,0.35,0,-39.42,5.39,0,0,0,0,0,0
0,0_0,0_0,0,3, fk2,04-24 13:13:59,04-24 13:14:09,none,none,none,none,0.00,04-24 14:06:30,52,N415314770,BOMEUSDT,short,stopLoss,,-22.97,-0.0318,13.48,0.0196,-22.97,-0.0318,0.35,0,-39.19,-18.14,0,1,0,0,0,0
0,0_0,0_0,2,1, fk2,04-24 13:11:28,04-24 13:13:18,none,none,none,none,0.00,04-24 14:11:32,58,N450816101,SANDUSDT,short,stopEarn,,14.61,0.0213,20.63,0.0304,-0.92,-0.0013,0.35,0,-60.76,-4.09,0,1,0,0,0,0
0,0_0,0_0,3,1, fk2,04-24 13:50:00,04-24 13:50:10,none,none,none,none,0.00,04-24 15:16:11,86,N901408847,SUIUSDT,long,stopEarn,,15.17,0.0217,20.91,0.0299,-9.08,-0.0130,0.35,0,-24.92,10.52,0,1,0,0,0,0
0,0_0,0_0,1,4, fk2,04-24 13:44:15,04-24 13:44:25,none,none,none,none,0.00,04-24 15:16:24,91,N835372600,WALUSDT,long,stopEarn,,13.78,0.0197,18.59,0.0266,-4.55,-0.0065,0.35,0,-32.77,23.73,0,1,0,0,0,0
0,0_0,0_0,3,1, fk2,04-24 14:02:16,04-24 14:02:26,none,none,none,none,0.00,04-24 16:08:00,125,N921726712,TAOUSDT,long,stopLoss,,-21.04,-0.0301,1.44,0.0021,-21.04,-0.0301,0.35,0,-13.18,2.13,0,2,0,0,0,0
0,0_0,0_0,7,8, fk2,04-24 15:16:16,04-24 15:16:26,none,none,none,none,0.00,04-24 16:14:38,58,N455183546,MEMEUSDT,long,stopLoss,,-23.44,-0.0335,0.00,0.0000,-23.44,-0.0335,0.35,0,-11.42,-21.87,0,3,0,0,0,0
0,0_0,0_0,1,4, fk2,04-24 13:38:00,04-24 13:38:10,none,none,none,none,0.00,04-24 16:38:26,180,N824137766,IMXUSDT,short,stopEarn,,12.06,0.0175,16.12,0.0236,-7.14,-0.0101,0.35,0,-45.52,-10.37,0,3,0,0,0,0
0,0_0,0_0,2,1, fk2,04-24 13:11:28,04-24 13:13:18,none,none,none,none,0.00,04-24 16:43:51,210,N811241468,GASUSDT,long,stopLoss,,-21.26,-0.0304,3.64,0.0052,-21.26,-0.0304,0.35,0,-40.63,-32.19,0,4,0,0,0,0
0,0_0,0_0,2,53, fk2,04-24 16:08:05,04-24 16:08:15,none,none,none,none,0.00,04-24 16:48:36,40,N585615998,MUBARAKUSDT,short,stopEarn,,12.48,0.0181,17.18,0.0252,-5.32,-0.0075,0.35,0,-25.12,-20.27,0,4,0,0,0,0
0,0_0,0_0,4,1, fk2,04-24 13:48:00,04-24 13:48:10,none,none,none,none,0.00,04-24 16:48:44,180,N315836496,UXLINKUSDT,long,stopLoss,,-21.01,-0.0300,0.45,0.0006,-21.01,-0.0300,0.35,0,-26.07,-41.84,0,5,0,0,0,0
0,0_0,0_0,1,5, fk2,04-24 14:10:01,04-24 14:10:11,none,none,none,none,0.00,04-24 16:51:01,160,N793289669,SUPERUSDT,short,stopEarn,,11.23,0.0163,14.90,0.0217,-8.78,-0.0124,0.35,0,-31.04,-31.17,0,5,0,0,0,0
0,0_0,0_0,0,5, fk2,04-24 13:21:59,04-24 13:22:09,none,none,none,none,0.00,04-24 16:55:31,213,N263179302,LINKUSDT,short,stopEarn,,10.90,0.0158,14.67,0.0214,-5.13,-0.0073,0.35,0,-42.66,-20.83,0,5,0,0,0,0
0,0_0,0_0,1,5, fk2,04-24 14:11:37,04-24 14:11:47,none,none,none,none,0.00,04-24 17:01:14,169,N268111133,MANAUSDT,short,stopEarn,,13.02,0.0190,17.36,0.0254,-15.99,-0.0223,0.35,0,-38.97,-8.37,0,5,0,0,0,0
0,0_0,0_0,0,5, fk2,04-24 13:21:59,04-24 13:22:09,none,none,none,none,0.00,04-24 17:06:26,224,N743432754,UNIUSDT,short,stopEarn,,16.70,0.0244,22.11,0.0326,-4.93,-0.0070,0.35,0,-24.07,7.77,0,5,0,0,0,0
0,0_0,0_0,3,180, fk2,04-24 16:38:31,04-24 16:38:41,none,none,none,none,0.00,04-24 17:18:52,40,N428262554,EPTUSDT,long,stopEarn,,25.04,0.0358,33.53,0.0479,-10.54,-0.0151,0.35,0,-39.30,32.25,0,5,0,0,0,0
0,0_0,0_0,2,207, fk2,04-24 16:48:41,04-24 16:48:51,none,none,none,none,0.00,04-24 17:40:15,51,N883659707,MAVIAUSDT,short,stopEarn,,17.23,0.0252,22.87,0.0338,-2.97,-0.0042,0.35,0,-29.51,48.91,0,5,0,0,0,0
