same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
0_0,0_0,20,0, fk4,04-07 22:17:26,04-07 22:18:57,none,none,none,none,0.00,04-07 23:17:48,58,N326740378,AI16ZUSDT,long,stopLoss,,-39.72,-0.0567,1.15,0.0016,-46.63,-0.0666,0.35,0,-133.80,-40.28,0,1,0,0,0,0
0_0,0_0,13,0, fk4,04-07 22:15:26,04-07 22:15:36,none,none,none,none,0.00,04-07 23:39:57,84,N312111411,BIDUSDT,long,stopLoss,,-35.10,-0.0501,5.91,0.0084,-35.10,-0.0501,0.35,0,-117.90,-75.94,0,2,0,0,0,0
0_0,0_0,14,0, fk4,04-07 23:21:27,04-07 23:21:37,none,none,none,none,0.00,04-08 00:11:06,49,N288654385,HEIUSDT,long,stopLoss,,-35.03,-0.0500,1.98,0.0028,-35.03,-0.0500,0.35,0,-219.94,-111.53,0,3,0,0,0,0
0_0,0_0,19,0, fk4,04-07 22:17:21,04-07 22:17:31,none,none,none,none,0.00,04-08 03:12:52,295,N590700615,GRASSUSDT,long,stopLoss,,-35.06,-0.0501,3.75,0.0054,-35.06,-0.0501,0.35,0,-211.04,-147.14,0,4,0,0,0,0
0_0,0_0,0,1, fk4,04-08 03:17:07,04-08 03:17:17,none,none,none,none,0.00,04-08 05:25:58,128,N863319414,HIPPOUSDT,short,stopLoss,,-36.84,-0.0500,0.00,0.0000,-36.84,-0.0500,0.35,0,-205.47,-184.55,0,5,0,0,0,0
0_0,0_0,21,0, fk4,04-07 22:45:46,04-07 22:46:06,none,none,none,none,0.00,04-08 05:35:36,409,N809198777,SUIUSDT,long,stopEarn,,16.86,0.0241,36.37,0.0520,-12.42,-0.0177,0.35,0,-221.46,-168.24,0,5,0,0,0,0
0_0,0_0,2,0, fk4,04-07 22:01:09,04-07 22:02:39,none,none,none,none,0.00,04-08 11:23:41,801,N138153410,1000SATSUSDT,long,stopEarn,,15.95,0.0228,38.27,0.0547,-12.76,-0.0182,0.35,0,-68.16,-152.86,0,5,0,0,0,0
0_0,0_0,13,0, fk4,04-07 22:31:29,04-07 22:31:39,none,none,none,none,0.00,04-08 11:38:11,786,N130196467,CETUSUSDT,long,stopEarn,,16.96,0.0242,32.28,0.0461,-8.52,-0.0122,0.35,0,-94.75,-136.46,0,5,0,0,0,0
0_0,0_0,3,0, fk4,04-08 06:01:53,04-08 06:02:03,none,none,none,none,0.00,04-08 12:10:12,368,N805073806,FARTCOINUSDT,long,stopEarn,,50.34,0.0719,78.44,0.1121,-14.82,-0.0212,0.35,0,-146.61,-86.68,0,5,0,0,0,0
0_0,0_0,20,0, fk4,04-08 00:16:22,04-08 00:16:32,none,none,none,none,0.00,04-08 12:17:16,720,N880640868,MUBARAKUSDT,long,stopLoss,,-35.35,-0.0505,30.05,0.0429,-35.35,-0.0505,0.35,0,-161.53,-122.60,0,6,0,0,0,0
0_0,0_0,19,0, fk4,04-07 22:47:41,04-07 22:48:01,none,none,none,none,0.00,04-08 13:22:47,874,N953889864,VINEUSDT,long,stopLoss,,-35.16,-0.0502,19.56,0.0279,-35.16,-0.0502,0.35,0,-171.72,-158.32,0,7,0,0,0,0
0_0,0_0,13,0, fk4,04-07 22:15:26,04-07 22:15:36,none,none,none,none,0.00,04-08 14:18:20,962,N760812678,MYROUSDT,long,stopLoss,,-35.33,-0.0505,21.20,0.0303,-36.84,-0.0526,0.35,0,-70.62,-194.21,0,8,0,0,0,0
