SLstatus,same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
0,0_0,0_0,12,8, fk6,04-24 13:12:11,04-24 13:13:01,none,none,none,none,0.00,04-24 13:14:36,1,N540585798,ALPACAUSDT,long,stopLoss,,-42.26,-0.0604,0.00,0.0000,-42.26,-0.0604,0.35,0,-22.02,-42.82,0,1,0,0,0,0
0,0_0,0_0,12,8, fk6,04-24 13:12:11,04-24 13:13:01,none,none,none,none,0.00,04-24 13:50:24,37,N151273534,BROCCOLIF3BUSDT,short,stopLoss,,-42.29,-0.0570,17.31,0.0254,-42.29,-0.0570,0.35,0,-63.28,-85.67,0,2,0,0,0,0
0,0_0,0_0,17,14, fk6,04-24 13:50:29,04-24 13:50:39,none,none,none,none,0.00,04-24 13:50:56,0,N291507246,ALPACAUSDT,long,stopLoss,,-42.34,-0.0605,0.00,0.0000,-42.34,-0.0605,0.35,0,-106.59,-128.57,0,3,0,0,0,0
0,0_0,0_0,12,8, fk6,04-24 13:12:11,04-24 13:13:01,none,none,none,none,0.00,04-24 13:53:01,40,N496873805,VOXELUSDT,long,stopEarn,,18.38,0.0263,31.23,0.0446,-11.56,-0.0165,0.35,0,-155.35,-110.74,0,3,0,0,0,0
0,0_0,0_0,12,8, fk6,04-24 13:12:11,04-24 13:13:01,none,none,none,none,0.00,04-24 13:53:01,40,N428390841,GPSUSDT,long,stopEarn,,-11.83,-0.0169,52.91,0.0756,-15.77,-0.0225,0.35,0,-173.41,-140.96,0,3,0,0,0,0
0,0_0,0_0,12,8, fk6,04-24 13:12:11,04-24 13:13:01,none,none,none,none,0.00,04-24 14:01:33,48,N283178450,PERPUSDT,long,stopLoss,,-21.03,-0.0300,3.94,0.0056,-21.03,-0.0300,0.35,0,-178.44,-144.72,0,4,0,0,0,0
0,0_0,0_0,12,8, fk6,04-24 13:12:11,04-24 13:13:01,none,none,none,none,0.00,04-24 14:01:49,48,N364535538,KDAUSDT,long,stopEarn,,8.94,0.0128,16.23,0.0232,-3.85,-0.0055,0.35,0,-181.01,-136.34,0,4,0,0,0,0
0,0_0,0_0,12,8, fk6,04-24 13:12:11,04-24 13:13:01,none,none,none,none,0.00,04-24 14:25:52,72,N953733699,SIRENUSDT,long,stopEarn,,11.69,0.0167,16.01,0.0229,-6.17,-0.0088,0.35,0,-159.68,-125.21,0,4,0,0,0,0
0,0_0,0_0,14,12, fk6,04-24 13:53:06,04-24 13:53:16,none,none,none,none,0.00,04-24 14:30:18,37,N508092909,EPTUSDT,long,stopEarn,,5.88,0.0084,15.11,0.0216,-4.30,-0.0061,0.35,0,-167.78,-119.89,0,4,0,0,0,0
0,0_0,0_0,12,8, fk6,04-24 13:12:11,04-24 13:13:01,none,none,none,none,0.00,04-24 15:06:50,113,N403923652,KERNELUSDT,short,stopEarn,,11.30,0.0164,15.49,0.0226,-14.65,-0.0205,0.35,0,-110.12,-109.15,0,4,0,0,0,0
0,0_0,0_0,12,8, fk6,04-24 13:12:11,04-24 13:13:01,none,none,none,none,0.00,04-24 15:10:12,117,N630527865,NKNUSDT,long,stopEarn,,10.71,0.0153,14.75,0.0211,-23.03,-0.0329,0.35,0,-120.04,-99.00,0,4,0,0,0,0
0,0_0,0_0,17,14, fk6,04-24 13:51:01,04-24 13:51:11,none,none,none,none,0.00,04-24 15:10:40,79,N341740413,B3USDT,long,stopEarn,,11.28,0.0161,15.04,0.0215,-15.04,-0.0215,0.35,0,-118.86,-88.28,0,4,0,0,0,0
0,0_0,0_0,12,162, fk6,04-24 15:06:55,04-24 15:07:05,none,none,none,none,0.00,04-24 15:36:36,29,N169765798,SYNUSDT,long,stopLoss,,-42.87,-0.0612,4.96,0.0071,-42.87,-0.0612,0.35,0,-125.46,-131.71,0,5,0,0,0,0
0,0_0,0_0,8,11, fk6,04-24 14:30:23,04-24 14:30:33,none,none,none,none,0.00,04-24 15:40:03,69,N849581152,BROCCOLI714USDT,short,stopEarn,,10.91,0.0158,14.97,0.0219,-6.85,-0.0097,0.35,0,-115.21,-121.36,0,5,0,0,0,0
