SLstatus,same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
0,0_0,0_0,1,7, fk8,04-24 13:12:12,04-24 13:13:02,none,none,none,none,0.00,04-24 13:50:24,37,N867439852,BROCCOLIF3BUSDT,short,stopLoss,,-42.35,-0.0570,17.67,0.0259,-42.35,-0.0570,0.35,0,-43.63,-42.91,0,1,0,0,0,0
0,0_0,0_0,1,7, fk8,04-24 13:12:12,04-24 13:13:02,none,none,none,none,0.00,04-24 14:11:31,58,N935992230,SANDUSDT,short,stopEarn,,15.73,0.0230,20.44,0.0301,-1.12,-0.0016,0.35,0,-24.17,-27.74,0,1,0,0,0,0
0,0_0,0_0,4,9, fk8,04-24 13:31:59,04-24 13:32:09,none,none,none,none,0.00,04-24 14:12:09,40,N594886757,B3USDT,long,stopEarn,,0.61,0.0009,17.29,0.0247,-3.06,-0.0044,0.35,0,-23.28,-27.69,0,1,0,0,0,0
0,0_0,0_0,4,9, fk8,04-24 13:31:59,04-24 13:32:09,none,none,none,none,0.00,04-24 14:12:43,40,N392273169,VOXELUSDT,long,stopEarn,,29.87,0.0427,40.49,0.0578,-1.29,-0.0018,0.35,0,-24.75,1.63,0,1,0,0,0,0
0,0_0,0_0,6,14, fk8,04-24 13:50:29,04-24 13:50:39,none,none,none,none,0.00,04-24 14:30:39,40,N380891119,KERNELUSDT,short,stopEarn,,9.15,0.0132,14.56,0.0212,0.00,0.0000,0.35,0,-20.52,10.22,0,1,0,0,0,0
0,0_0,0_0,5,19, fk8,04-24 14:13:03,04-24 14:13:13,none,none,none,none,0.00,04-24 14:53:13,40,N562660662,KDAUSDT,long,stopEarn,,5.55,0.0079,15.03,0.0215,-6.09,-0.0087,0.35,0,-16.64,15.21,0,1,0,0,0,0
0,0_0,0_0,4,10, fk8,04-24 14:30:44,04-24 14:30:54,none,none,none,none,0.00,04-24 15:10:57,40,N328758897,FUNUSDT,short,stopEarn,,10.50,0.0152,13.96,0.0203,0.00,0.0000,0.35,0,-29.56,25.15,0,1,0,0,0,0
0,0_0,0_0,2,9, fk8,04-24 13:15:57,04-24 13:16:07,none,none,none,none,0.00,04-24 15:12:55,116,N886144153,TSTUSDT,long,stopEarn,,13.30,0.0190,18.29,0.0261,-17.46,-0.0249,0.35,0,-32.04,37.89,0,1,0,0,0,0
0,0_0,0_0,2,9, fk8,04-24 13:15:57,04-24 13:16:07,none,none,none,none,0.00,04-24 15:17:02,120,N282532346,NEIROETHUSDT,long,stopLoss,,-42.04,-0.0601,2.31,0.0033,-42.04,-0.0601,0.35,0,-29.88,-4.71,0,2,0,0,0,0
0,0_0,0_0,10,35, fk8,04-24 14:53:18,04-24 14:53:28,none,none,none,none,0.00,04-24 15:33:28,40,N654740776,SYNUSDT,long,stopEarn,,-13.38,-0.0191,29.28,0.0418,-16.91,-0.0242,0.35,0,-23.73,-18.65,0,2,0,0,0,0
0,0_0,0_0,5,19, fk8,04-24 14:12:14,04-24 14:12:24,none,none,none,none,0.00,04-24 15:40:06,87,N346463781,BROCCOLI714USDT,short,stopEarn,,13.64,0.0199,18.18,0.0267,-3.54,-0.0050,0.35,0,8.51,-5.57,0,2,0,0,0,0
0,0_0,0_0,7,121, fk8,04-24 15:11:02,04-24 15:11:12,none,none,none,none,0.00,04-24 15:51:12,40,N373772136,KERNELUSDT,short,stopEarn,,18.16,0.0266,33.29,0.0499,-3.03,-0.0043,0.35,0,17.67,12.03,0,2,0,0,0,0
0,0_0,0_0,7,80, fk8,04-24 15:13:45,04-24 15:13:55,none,none,none,none,0.00,04-24 15:53:55,40,N6762411000,BANUSDT,long,stopEarn,,10.17,0.0145,19.86,0.0284,-7.84,-0.0112,0.35,0,26.26,21.64,0,2,0,0,0,0
0,0_0,0_0,1,7, fk8,04-24 13:12:12,04-24 13:13:02,none,none,none,none,0.00,04-24 16:01:36,168,N447998736,1000CHEEMSUSDT,short,stopEarn,,10.78,0.0156,14.47,0.0211,-9.52,-0.0134,0.35,0,34.31,31.86,0,2,0,0,0,0
0,0_0,0_0,3,65, fk8,04-24 15:51:17,04-24 15:51:27,none,none,none,none,0.00,04-24 16:31:27,40,N7265051000,BROCCOLIF3BUSDT,short,stopEarn,,18.07,0.0265,25.83,0.0383,-3.31,-0.0047,0.35,0,105.98,49.38,0,2,0,0,0,0
0,0_0,0_0,0,6, fk8,04-24 13:13:57,04-24 13:14:07,none,none,none,none,0.00,04-24 16:32:16,198,N650865842,INITUSDT,short,stopEarn,,59.76,0.0933,79.03,0.1273,-20.01,-0.0278,0.35,0,108.72,108.57,0,2,0,0,0,0
0,0_0,0_0,1,7, fk8,04-24 13:12:12,04-24 13:13:02,none,none,none,none,0.00,04-24 16:33:05,200,N495013243,1000000MOGUSDT,short,stopEarn,,17.42,0.0255,23.23,0.0343,-18.08,-0.0252,0.35,0,103.56,125.43,0,2,0,0,0,0
0,0_0,0_0,5,109, fk8,04-24 16:01:41,04-24 16:01:51,none,none,none,none,0.00,04-24 16:45:37,43,N569682750,ZEREBROUSDT,short,stopEarn,,29.48,0.0440,38.38,0.0580,-14.29,-0.0200,0.35,0,186.51,154.36,0,2,0,0,0,0
0,0_0,0_0,11,44, fk8,04-24 15:17:07,04-24 15:17:17,none,none,none,none,0.00,04-24 16:47:50,90,N737035412,MORPHOUSDT,long,stopLoss,,-21.02,-0.0300,9.30,0.0133,-21.02,-0.0300,0.35,0,194.30,132.78,0,3,0,0,0,0
0,0_0,0_0,3,9, fk8,04-24 13:17:58,04-24 13:18:08,none,none,none,none,0.00,04-24 16:49:01,210,N686846752,UXLINKUSDT,long,stopLoss,,-21.04,-0.0301,2.24,0.0032,-21.04,-0.0301,0.35,0,196.99,111.17,0,4,0,0,0,0
0,0_0,0_0,9,82, fk8,04-24 16:31:32,04-24 16:31:42,none,none,none,none,0.00,04-24 16:56:33,24,N810546861,BANUSDT,long,stopLoss,,-42.05,-0.0601,43.87,0.0627,-42.05,-0.0601,0.35,0,118.66,68.56,0,5,0,0,0,0
0,0_0,0_0,1,7, fk8,04-24 13:12:12,04-24 13:13:02,none,none,none,none,0.00,04-24 16:58:31,225,N538094636,IMXUSDT,short,stopEarn,,16.44,0.0240,22.08,0.0326,-4.91,-0.0070,0.35,0,115.70,84.44,0,5,0,0,0,0
0,0_0,0_0,1,7, fk8,04-24 13:12:12,04-24 13:13:02,none,none,none,none,0.00,04-24 17:00:43,227,N156775502,BCHUSDT,long,oppo,,-15.44,-0.0221,0.73,0.0010,-20.99,-0.0300,0.35,0,150.33,68.44,0,5,0,0,1,0
