same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
0_0,0_0,8,0, fk9,04-08 00:02:04,04-08 00:02:15,none,none,none,none,0.00,04-08 04:30:06,267,N589552625,DUSDT,long,stopEarn,,41.20,0.0589,103.75,0.1482,-18.14,-0.0259,0.35,0,151.24,40.64,0,0,0,0,0,0
0_0,0_0,4,0, fk9,04-08 00:06:05,04-08 00:06:15,none,none,none,none,0.00,04-08 05:35:12,328,N778692771,HBARUSDT,long,stopEarn,,25.81,0.0369,40.28,0.0575,-5.13,-0.0073,0.35,0,106.22,65.88,0,0,0,0,0,0
0_0,0_0,9,0, fk9,04-08 00:16:05,04-08 00:16:15,none,none,none,none,0.00,04-08 07:40:54,444,N709315943,PLUMEUSDT,long,stopEarn,,31.41,0.0449,41.26,0.0589,-11.72,-0.0167,0.35,0,111.45,96.74,0,0,0,0,0,0
0_0,0_0,8,0, fk9,04-08 00:02:04,04-08 00:02:14,none,none,none,none,0.00,04-08 07:50:05,467,N421091802,MKRUSDT,long,stopEarn,,32.38,0.0463,42.57,0.0608,-12.67,-0.0181,0.35,0,126.65,128.56,0,0,0,0,0,0
0_0,0_0,9,0, fk9,04-08 00:16:05,04-08 00:16:15,none,none,none,none,0.00,04-08 11:38:11,681,N968797188,PIXELUSDT,long,stopEarn,,13.75,0.0196,26.19,0.0374,-18.01,-0.0257,0.35,0,200.59,141.75,0,0,0,0,0,0
0_0,0_0,8,0, fk9,04-08 00:02:04,04-08 00:02:14,none,none,none,none,0.00,04-08 11:41:32,699,N576968579,AAVEUSDT,long,stopEarn,,14.45,0.0206,28.42,0.0406,-14.02,-0.0200,0.35,0,187.56,155.64,0,0,0,0,0,0
0_0,0_0,8,0, fk9,04-08 00:02:04,04-08 00:02:14,none,none,none,none,0.00,04-08 11:44:23,702,N260074349,TROYUSDT,long,stopEarn,,14.87,0.0212,31.61,0.0452,-13.94,-0.0199,0.35,0,175.59,169.96,0,0,0,0,0,0
0_0,0_0,8,0, fk9,04-08 00:02:04,04-08 00:02:14,none,none,none,none,0.00,04-08 11:49:28,707,N306031602,ZENUSDT,long,stopEarn,,15.34,0.0219,30.69,0.0438,-14.87,-0.0212,0.35,0,167.27,184.74,0,0,0,0,0,0
0_0,0_0,8,0, fk9,04-08 00:02:04,04-08 00:02:14,none,none,none,none,0.00,04-08 12:15:23,733,N304235805,MUBARAKUSDT,long,stopLoss,,-35.00,-0.0500,22.75,0.0325,-35.00,-0.0500,0.35,0,165.46,149.18,0,1,0,0,0,0
0_0,0_0,1,0, fk9,04-07 23:31:47,04-07 23:31:57,none,none,none,none,0.00,04-08 14:07:07,875,N351974875,BROCCOLI714USDT,long,stopLoss,,-35.51,-0.0507,28.26,0.0404,-35.51,-0.0507,0.35,0,82.62,113.12,0,2,0,0,0,0
0_0,0_0,4,0, fk9,04-08 00:10:05,04-08 00:10:15,none,none,none,none,0.00,04-08 16:08:00,957,N462483685,WALUSDT,long,stopLoss,,-35.07,-0.0501,16.76,0.0239,-35.07,-0.0501,0.35,0,28.23,77.49,0,3,0,0,0,0
0_0,0_0,1,0, fk9,04-08 13:00:06,04-08 13:00:16,none,none,none,none,0.00,04-08 16:40:39,220,N610698931,ALCHUSDT,long,stopLoss,,-35.26,-0.0504,20.29,0.0290,-35.26,-0.0504,0.35,0,7.80,41.67,0,4,0,0,0,0
