name,bootTime,openTime,addTime1,addTime2,addTime3,closeTime,duration,name,symbol,side,AISide,closeType,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
 j3,08-03 13:24:45,08-03 14:20:45,none,none,none,08-03 16:40:45,140,shenfu,BTCUSDT,long,zero,macdSubOppo,-1.12,-0.0019,1.50,0.0025,-2.13,-0.0035,0.30,0,0.00,-1.59,0,0,0,0,0,0
 j3,08-03 13:57:15,08-03 13:57:25,none,none,none,08-03 16:50:16,172,N239796827,STRKUSDT,long,zero,macdSubOppo,-3.60,-0.0060,6.62,0.0110,-5.32,-0.0089,0.30,0,0.00,-4.08,0,0,0,0,0,0
 j3,08-03 13:47:55,08-03 13:48:05,none,none,none,08-03 16:50:55,182,N603064688,HIFIUSDT,long,zero,macdSubOppo,-11.43,-0.0190,8.13,0.0135,-17.08,-0.0285,0.30,0,0.00,-11.91,0,0,0,0,0,0
 j3,08-03 14:13:20,08-03 14:13:30,none,none,none,08-03 17:00:20,166,N279280546,SUIUSDT,long,zero,macdSubOppo,0.93,0.0015,7.06,0.0118,-3.62,-0.0060,0.30,0,-15.98,-15.53,0,0,0,0,0,0
 j3,08-03 13:45:20,08-03 13:47:10,none,none,none,08-03 17:00:20,193,N965809565,ETHWUSDT,long,zero,macdSubOppo,-1.26,-0.0021,6.91,0.0115,-4.51,-0.0075,0.30,0,-15.98,-17.72,0,0,0,0,0,0
 j3,08-03 14:04:00,08-03 14:06:10,none,none,none,08-03 17:01:00,174,N755460151,RENUSDT,long,zero,macdSubOppo,-2.13,-0.0036,4.72,0.0079,-5.33,-0.0089,0.30,0,-15.98,-18.60,0,0,0,0,0,0
 j3,08-03 14:04:00,08-03 14:04:20,none,none,none,08-03 17:06:00,181,N434687875,ZILUSDT,long,zero,macdSubOppo,-1.19,-0.0020,4.75,0.0079,-4.35,-0.0073,0.30,0,-19.88,-21.55,0,0,0,0,0,0
 j3,08-03 16:57:00,08-03 16:57:11,08-03 17:00:53,08-03 17:16:00,none,08-03 17:20:38,23,N761811669,AMBUSDT,long,oppo,stopEarn,62.37,0.0247,106.80,0.0450,-2.33,-0.0015,1.30,0,-21.55,38.81,2,0,0,0,0,0
 j3,08-03 13:57:15,08-03 13:57:25,none,none,none,08-03 17:25:26,208,N839087423,BONDUSDT,long,zero,macdSubOppo,-6.52,-0.0109,5.03,0.0084,-9.77,-0.0163,0.30,0,-21.55,31.82,2,0,0,0,0,0
 j3,08-03 14:11:45,08-03 14:11:55,none,none,none,08-03 17:25:45,193,N721558244,XAIUSDT,long,zero,macdSubOppo,-3.18,-0.0053,13.39,0.0223,-5.45,-0.0091,0.30,0,-21.55,35.15,2,0,0,0,0,0
 j3,08-03 14:50:40,08-03 14:50:50,08-03 15:55:33,none,none,08-03 17:50:40,179,N805084537,ZETAUSDT,long,zero,macdSubOppo,-53.57,-0.0339,25.66,0.0301,-65.12,-0.0412,0.80,0,-32.20,-26.67,2,0,0,0,0,0
 j3,08-03 17:08:35,08-03 17:10:25,none,none,none,08-03 18:25:35,75,N881581579,1000RATSUSDT,short,zero,macdSubOppo,-1.89,-0.0031,1.24,0.0021,-8.93,-0.0147,0.30,0,-87.03,-29.04,2,0,0,0,0,0
 j3,08-03 17:06:10,08-03 17:07:40,none,none,none,08-03 18:45:11,97,N740547366,1000SATSUSDT,short,zero,macdSubOppo,-11.56,-0.0189,1.72,0.0029,-14.02,-0.0228,0.30,0,-89.40,-41.08,2,0,0,0,0,0
 j3,08-03 14:03:30,08-03 14:05:40,none,none,none,08-03 18:55:30,289,N982823199,TLMUSDT,long,zero,macdSubOppo,-1.32,-0.0022,4.93,0.0082,-5.78,-0.0096,0.30,0,-101.45,-42.89,2,0,0,0,0,0
 j3,08-03 17:41:20,08-03 17:41:30,08-03 18:02:31,08-03 18:45:17,none,08-03 19:00:35,79,N359576128,AMBUSDT,long,oppo,stopEarn,152.88,0.0605,208.16,0.0824,-51.92,-0.0328,1.30,0,-103.25,107.98,4,0,0,0,0,0
 j3,08-03 13:58:50,08-03 14:00:40,none,none,none,08-03 19:25:50,325,N855791585,MYROUSDT,long,zero,macdSubOppo,1.97,0.0033,12.53,0.0209,-2.78,-0.0046,0.30,0,-103.25,109.47,4,0,0,0,0,0
 j3,08-03 16:55:35,08-03 16:55:45,08-03 18:02:09,08-03 20:26:02,none,08-03 20:45:21,229,N205419730,ACEUSDT,long,oppo,stopEarn,174.55,0.0691,234.05,0.0926,-52.83,-0.0334,1.30,0,-101.76,282.02,6,0,0,0,0,0
 j3,08-03 19:28:15,08-03 19:28:25,none,none,none,08-03 21:05:15,96,N281477952,CRVUSDT,short,zero,macdSubOppo,-17.52,-0.0284,2.19,0.0037,-26.28,-0.0420,0.30,0,-101.76,264.02,6,0,0,0,0,0
 j3,08-03 18:28:35,08-03 18:28:45,none,none,none,08-03 21:45:35,196,N425176424,SXPUSDT,long,zero,macdSubOppo,-12.57,-0.0210,1.57,0.0026,-14.14,-0.0236,0.30,0,-119.76,250.97,6,0,0,0,0,0
 j3,08-03 19:28:25,08-03 19:28:35,none,none,none,08-03 21:55:25,146,N698469521,SFPUSDT,long,zero,macdSubOppo,-1.31,-0.0022,1.69,0.0028,-3.77,-0.0063,0.30,0,-132.81,249.18,6,0,0,0,0,0
 j3,08-03 18:59:45,08-03 18:59:55,none,none,none,08-03 21:55:45,175,N732295147,AAVEUSDT,long,zero,macdSubOppo,-11.85,-0.0197,5.87,0.0098,-13.20,-0.0220,0.30,0,-132.81,238.65,6,0,0,0,0,0
 j3,08-03 19:44:30,08-03 19:45:10,none,none,none,08-03 22:06:00,140,N619722398,CELOUSDT,long,zero,macdSubOppo,1.21,0.0020,7.29,0.0121,-2.43,-0.0040,0.30,0,-146.92,237.59,6,0,0,0,0,0
 j3,08-03 22:16:45,08-03 22:17:15,none,none,none,08-03 22:36:07,18,N884993503,ACEUSDT,short,oppo,AICloseOppo,-21.09,-0.0340,3.34,0.0056,-21.09,-0.0340,0.30,0,-146.18,216.02,6,0,0,0,0,0
 j3,08-03 18:26:00,08-03 18:26:10,08-03 21:20:06,08-03 23:25:22,none,08-03 23:26:35,300,N991341768,SKLUSDT,short,zero,stopEarn,63.50,0.0244,77.46,0.0452,-17.79,-0.0151,1.30,0,-146.18,298.94,8,0,0,0,0,0
 j3,08-03 13:24:45,08-03 13:24:55,08-03 20:30:05,none,none,08-03 23:35:45,610,O493757515,WIFUSDT,long,zero,macdSubOppo,-39.04,-0.0247,20.80,0.0303,-46.70,-0.0295,0.80,0,-84.83,258.64,8,0,0,0,0,0
 j3,08-03 22:16:45,08-03 22:36:45,none,none,none,08-03 23:42:46,66,N884993503,ACEUSDT,long,AIOpenOppo,stopLoss,-30.12,-0.0502,12.41,0.0207,-30.12,-0.0502,0.30,0,-125.13,206.47,8,2,0,0,0,0
 j3,08-03 13:24:45,08-03 22:26:55,none,none,none,08-03 23:50:45,83,shenfu,BTCUSDT,long,zero,macdSubOppo,-7.60,-0.0127,1.40,0.0023,-8.46,-0.0141,0.30,0,-125.13,196.83,8,2,0,0,0,0
 j3,08-03 21:22:25,08-03 21:22:35,none,none,none,08-03 23:52:44,150,N416072817,SAGAUSDT,long,oppo,AICloseOppo,-20.35,-0.0339,13.18,0.0220,-20.35,-0.0339,0.30,0,-125.13,185.65,8,2,0,0,0,0
 j3,08-03 18:10:33,08-03 18:10:43,none,none,none,08-03 23:55:34,344,N731635522,XEMUSDT,long,zero,macdSubOppo,-18.97,-0.0316,4.74,0.0079,-18.97,-0.0316,0.30,0,-125.13,187.02,8,2,0,0,0,0
 j3,08-03 22:27:40,08-03 22:27:50,none,none,none,08-04 00:00:40,92,N770706684,ZROUSDT,long,zero,macdSubOppo,-16.22,-0.0270,3.66,0.0061,-18.92,-0.0315,0.30,0,-144.59,170.33,8,2,0,0,0,0
 j3,08-03 22:29:00,08-03 22:29:10,none,none,none,08-04 00:16:00,106,N796568317,RENDERUSDT,long,zero,macdSubOppo,-25.71,-0.0429,11.48,0.0191,-26.98,-0.0450,0.30,0,-161.28,144.13,8,2,0,0,0,0
 j3,08-03 17:05:30,08-03 17:05:43,08-03 23:18:15,08-04 00:06:15,none,08-04 00:30:23,444,N128572846,XVSUSDT,short,oppo,stopEarn,84.14,0.0325,125.38,0.0493,-5.54,-0.0092,1.30,0,-187.47,226.12,10,2,0,0,0,0
 j3,08-03 19:02:45,08-03 19:03:35,08-03 23:50:12,08-04 01:22:21,none,08-04 01:26:02,382,N117762696,FXSUSDT,short,oppo,stopEarn,63.43,0.0243,81.19,0.0451,-25.21,-0.0403,1.30,0,-187.47,287.40,12,2,0,0,0,0
 j3,08-03 22:12:15,08-03 22:12:25,08-03 23:43:34,08-04 01:16:47,none,08-04 01:26:35,194,N332905179,NKNUSDT,short,zero,stopEarn,63.40,0.0243,77.67,0.0452,-3.53,-0.0059,1.30,0,-187.47,348.65,14,2,0,0,0,0
 j3,08-03 23:33:25,08-03 23:33:35,08-04 00:16:14,08-04 01:57:13,none,08-04 01:59:27,145,N657459456,BANDUSDT,short,zero,stopEarn,63.29,0.0243,74.30,0.0451,-14.62,-0.0090,1.30,0,-126.23,409.78,16,2,0,0,0,0
 j3,08-04 01:26:40,08-04 01:27:40,none,none,none,08-04 02:17:54,50,N787096490,XEMUSDT,long,oppo,AICloseOppo,-29.86,-0.0498,5.43,0.0090,-29.86,-0.0498,0.30,0,-65.09,379.44,16,2,0,0,0,0
 j3,08-04 00:16:15,08-04 00:17:05,08-04 00:33:41,none,none,08-04 02:27:41,130,N455273844,NFPUSDT,long,oppo,stopLoss,-79.56,-0.0503,18.75,0.0301,-79.56,-0.0503,0.80,0,-65.09,328.96,16,4,0,0,0,0
 j3,08-03 21:22:25,08-03 23:53:25,08-04 00:25:12,none,none,08-04 03:07:08,193,N416072817,SAGAUSDT,short,AIOpenOppo,stopEarn,35.45,0.0224,64.48,0.0415,-40.07,-0.0339,0.80,0,-65.09,342.29,18,4,0,0,0,0
