SLstatus,same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
0,0_0,0_0,1,3, fk2,04-24 13:30:36,04-24 13:30:46,none,none,none,none,0.00,04-24 14:16:35,45,N564896939,HIFIUSDT,long,stopEarn,,20.95,0.0299,28.16,0.0402,-7.53,-0.0108,0.35,0,20.95,20.39,0,0,0,0,0,0
0,0_0,0_0,4,7, fk2,04-24 14:46:13,04-24 14:46:23,none,none,none,none,0.00,04-24 15:26:23,40,N501358914,CETUSUSDT,long,stopEarn,,10.06,0.0144,28.02,0.0400,-1.53,-0.0022,0.35,0,34.41,29.90,0,0,0,0,0,0
0,0_0,0_0,3,13, fk2,04-24 14:58:15,04-24 14:58:25,none,none,none,none,0.00,04-24 15:45:01,46,N450859191,BRETTUSDT,short,stopEarn,,10.70,0.0155,14.03,0.0205,-4.31,-0.0061,0.35,0,28.67,40.04,0,0,0,0,0,0
0,0_0,0_0,1,79, fk2,04-24 15:40:16,04-24 15:40:34,none,none,none,none,0.00,04-24 16:20:34,40,N292627256,FLMUSDT,long,stopEarn,,3.41,0.0049,20.49,0.0293,-3.41,-0.0049,0.35,0,20.72,42.89,0,0,0,0,0,0
0,0_0,0_0,4,7, fk2,04-24 14:46:13,04-24 14:46:23,none,none,none,none,0.00,04-24 16:29:45,103,N617114767,SYSUSDT,long,stopLoss,,-21.12,-0.0302,5.83,0.0083,-21.12,-0.0302,0.35,0,12.20,21.21,0,1,0,0,0,0
0,0_0,0_0,3,180, fk2,04-24 16:39:28,04-24 16:39:38,none,none,none,none,0.00,04-24 17:19:38,40,N233824418,EPTUSDT,long,stopEarn,,21.00,0.0300,33.09,0.0473,-11.66,-0.0167,0.35,0,39.12,41.65,0,1,0,0,0,0
0,0_0,0_0,0,201, fk2,04-24 16:33:11,04-24 16:33:23,none,none,none,none,0.00,04-24 17:45:23,71,N925386606,MAVIAUSDT,short,stopEarn,,23.20,0.0343,30.54,0.0456,-2.35,-0.0033,0.35,0,47.18,64.29,0,1,0,0,0,0
0,0_0,0_0,6,25, fk2,04-24 17:15:45,04-24 17:15:55,none,none,none,none,0.00,04-24 18:02:49,46,N234715744,GTCUSDT,long,stopEarn,,10.90,0.0156,15.26,0.0218,0.00,0.0000,0.35,0,36.00,74.63,0,1,0,0,0,0
0,0_0,0_0,6,123, fk2,04-24 16:22:24,04-24 16:22:35,none,none,none,none,0.00,04-24 18:03:37,101,N927730791,MLNUSDT,long,stopLoss,,-21.78,-0.0311,3.89,0.0056,-21.78,-0.0311,0.35,0,34.19,52.29,0,2,0,0,0,0
0,0_0,0_0,4,8, fk2,04-24 17:57:04,04-24 17:57:14,none,none,none,none,0.00,04-24 18:37:14,40,N997632774,NMRUSDT,long,stopEarn,,19.63,0.0280,43.92,0.0627,0.00,0.0000,0.35,0,40.58,71.36,0,2,0,0,0,0
0,0_0,0_0,3,74, fk2,04-24 16:00:31,04-24 16:00:49,none,none,none,none,0.00,04-24 20:17:57,257,N627961812,BRETTUSDT,short,stopLoss,,-42.74,-0.0575,1.41,0.0020,-42.74,-0.0575,0.35,0,-8.74,28.07,0,3,0,0,0,0
0,0_0,0_0,6,3, fk2,04-24 20:12:58,04-24 20:13:08,none,none,none,none,0.00,04-24 20:53:08,40,N775381429,CETUSUSDT,long,stopEarn,,29.76,0.0425,44.60,0.0637,-1.93,-0.0028,0.35,0,10.02,57.27,0,3,0,0,0,0
