same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
0_0,0_0,14,0, fk3,04-07 22:03:22,04-07 22:03:32,none,none,none,none,0.00,04-07 23:47:27,103,N495042505,SSVUSDT,long,stopEarn,,-5.23,-0.0075,38.71,0.0553,-15.54,-0.0222,0.35,0,25.77,-5.79,0,0,0,0,0,0
0_0,0_0,6,0, fk3,04-07 22:01:35,04-07 22:02:35,none,none,none,none,0.00,04-08 00:00:42,118,N438698172,DEXEUSDT,long,stopEarn,,4.86,0.0069,42.53,0.0608,-3.49,-0.0050,0.35,0,-1.13,-1.48,0,0,0,0,0,0
0_0,0_0,14,0, fk3,04-07 22:03:22,04-07 22:03:32,none,none,none,none,0.00,04-08 00:15:45,132,N347599225,BIDUSDT,long,stopLoss,,-35.02,-0.0500,24.06,0.0344,-35.02,-0.0500,0.35,0,3.58,-37.06,0,1,0,0,0,0
0_0,0_0,14,0, fk3,04-07 22:03:22,04-07 22:03:32,none,none,none,none,0.00,04-08 00:45:29,161,N591350201,NULSUSDT,long,stopEarn,,-4.91,-0.0070,39.30,0.0561,-8.19,-0.0117,0.35,0,-76.39,-42.54,0,1,0,0,0,0
0_0,0_0,14,0, fk3,04-07 22:03:22,04-07 22:03:32,none,none,none,none,0.00,04-08 03:15:00,311,N524944200,DFUSDT,long,stopEarn,,13.02,0.0186,30.25,0.0432,-2.03,-0.0029,0.35,0,41.83,-30.08,0,1,0,0,0,0
0_0,0_0,240,0, fk3,04-07 23:47:32,04-07 23:47:42,none,none,none,none,0.00,04-08 05:38:27,350,N311334993,FUNUSDT,long,stopEarn,,13.22,0.0189,32.60,0.0466,-13.57,-0.0194,0.35,0,-10.66,-17.42,0,1,0,0,0,0
0_0,0_0,6,0, fk3,04-07 22:01:35,04-07 22:02:35,none,none,none,none,0.00,04-08 08:46:25,643,N856399748,VIDTUSDT,long,oppo,,-24.09,-0.0344,20.29,0.0290,-25.68,-0.0367,0.35,0,-24.96,-42.07,0,1,0,0,1,0
0_0,0_0,14,0, fk3,04-07 22:03:22,04-07 22:03:32,none,none,none,none,0.00,04-08 11:07:01,783,N801809230,STORJUSDT,long,stopEarn,,16.92,0.0242,30.87,0.0441,-15.44,-0.0221,0.35,0,141.98,-1.06,0,1,0,0,1,0
0_0,0_0,6,0, fk3,04-07 22:01:35,04-07 22:02:35,none,none,none,none,0.00,04-08 11:25:13,802,N142956331,ETCUSDT,long,stopEarn,,15.89,0.0227,28.81,0.0412,-9.80,-0.0140,0.35,0,122.29,14.28,0,1,0,0,1,0
0_0,0_0,6,0, fk3,04-07 22:01:35,04-07 22:02:35,none,none,none,none,0.00,04-08 11:36:44,814,N820825656,TWTUSDT,long,stopEarn,,14.92,0.0213,26.44,0.0378,-5.29,-0.0076,0.35,0,125.67,28.63,0,1,0,0,1,0
