date,main,fast,earn,total,Lc,Sc,hl1,hl2,hl3,hl4,hl5,hl7,hl8,fk1,fk2,fk3,fk4,fk5,fk7,fk8
2025-04-24 13:13,(0 0),(0 0),0.00,0.00,0,0,(5 1),(5 1),(32 9),(2 1),(8 183),(1 0),(8 3),(2 1),(2 1),(18 204),(2 1),(11 147),(4 1),(1 7)
2025-04-24 13:14,(0 0),(0 0),0.00,0.00,0,0,(4 1),(4 1),(33 9),(2 1),(8 180),(1 0),(8 4),(0 3),(0 3),(17 193),(2 1),(11 145),(4 1),(0 6)
2025-04-24 13:15,(0 0),(0 0),-0.21,-0.21,2,1,(4 1),(4 1),(34 9),(2 1),(8 180),(1 0),(8 4),(0 3),(0 3),(17 193),(2 1),(11 145),(4 1),(0 6)
2025-04-24 13:16,(0 0),(0 0),21.24,21.24,2,1,(3 2),(3 2),(42 9),(2 1),(7 179),(0 0),(14 5),(1 2),(1 2),(20 192),(2 1),(10 140),(4 0),(2 9)
2025-04-24 13:17,(0 0),(0 0),24.36,24.36,2,1,(3 2),(3 2),(42 9),(2 1),(7 179),(0 0),(14 5),(1 2),(1 2),(20 192),(2 1),(10 140),(4 0),(2 9)
2025-04-24 13:18,(0 0),(0 0),25.89,25.89,2,1,(4 3),(4 3),(41 8),(2 1),(6 178),(0 0),(11 5),(1 2),(1 2),(20 202),(2 1),(11 139),(4 0),(3 9)
2025-04-24 13:19,(0 0),(0 0),46.96,46.96,2,1,(4 3),(4 3),(41 8),(2 1),(6 178),(0 0),(11 5),(1 2),(1 2),(20 202),(2 1),(11 139),(4 0),(3 9)
2025-04-24 13:20,(0 0),(0 0),105.41,105.41,3,1,(4 3),(4 3),(42 7),(3 1),(7 178),(1 0),(12 5),(0 1),(0 1),(19 202),(3 1),(11 140),(3 0),(3 9)
2025-04-24 13:21,(0 0),(0 0),133.54,133.54,3,1,(4 3),(4 3),(42 7),(3 1),(7 178),(1 0),(12 5),(0 1),(0 1),(19 202),(3 1),(11 140),(3 0),(3 9)
2025-04-24 13:22,(0 0),(0 0),101.22,101.22,3,1,(1 4),(1 4),(43 8),(3 1),(7 179),(1 0),(10 8),(0 5),(0 5),(19 207),(3 1),(11 140),(4 0),(1 8)
2025-04-24 13:23,(0 0),(0 0),132.13,132.13,3,1,(1 4),(1 4),(43 8),(3 1),(7 179),(1 0),(10 8),(0 5),(0 5),(19 207),(3 1),(11 140),(4 0),(1 8)
2025-04-24 13:24,(0 0),(0 0),140.42,140.42,3,1,(3 4),(3 4),(43 7),(3 1),(7 179),(1 0),(11 9),(0 5),(0 5),(19 203),(2 1),(12 141),(4 0),(1 8)
2025-04-24 13:25,(0 0),(0 0),151.42,151.42,3,1,(3 4),(3 4),(43 7),(4 1),(7 179),(1 0),(11 9),(0 5),(0 5),(19 203),(2 1),(12 141),(4 0),(1 8)
2025-04-24 13:26,(0 0),(0 0),159.72,159.72,3,1,(2 6),(2 6),(65 7),(5 2),(7 179),(1 0),(14 28),(1 4),(1 4),(19 205),(3 1),(13 141),(4 0),(1 8)
2025-04-24 13:27,(0 0),(0 0),158.33,158.33,3,1,(2 6),(2 6),(65 7),(5 2),(7 179),(1 0),(14 28),(1 4),(1 4),(19 205),(3 1),(13 141),(4 0),(1 8)
2025-04-24 13:28,(0 0),(0 0),141.79,141.79,3,1,(2 4),(2 4),(67 7),(5 2),(8 179),(1 0),(10 23),(0 4),(0 4),(19 204),(3 1),(13 141),(4 0),(0 7)
2025-04-24 13:29,(0 0),(0 0),135.88,135.88,3,1,(2 4),(2 4),(67 7),(5 2),(8 178),(1 0),(10 23),(0 4),(0 4),(19 204),(3 1),(13 141),(4 0),(0 7)
2025-04-24 13:30,(0 0),(0 0),119.35,119.35,3,1,(3 2),(3 2),(67 7),(5 2),(8 177),(1 0),(12 21),(1 3),(1 3),(20 193),(3 1),(11 140),(4 1),(0 7)
2025-04-24 13:31,(0 0),(0 0),45.20,45.20,3,1,(3 2),(3 2),(67 7),(4 2),(7 178),(1 0),(12 23),(1 3),(1 3),(20 193),(3 1),(11 140),(4 1),(0 7)
2025-04-24 13:32,(0 0),(0 0),40.54,40.54,4,1,(5 2),(5 2),(69 6),(3 1),(7 176),(0 0),(10 30),(1 3),(1 3),(26 169),(4 1),(11 139),(1 0),(4 9)
2025-04-24 13:33,(0 0),(0 0),29.86,29.86,4,1,(5 2),(5 2),(69 6),(3 1),(7 176),(0 0),(10 28),(1 3),(1 3),(26 169),(4 1),(11 139),(1 0),(4 9)
2025-04-24 13:34,(0 0),(0 0),37.25,37.25,4,1,(6 2),(6 2),(69 7),(0 1),(6 176),(0 1),(10 28),(1 3),(1 3),(25 178),(3 1),(10 139),(1 1),(4 9)
2025-04-24 13:35,(0 0),(0 0),30.30,30.30,4,1,(6 2),(6 2),(69 7),(0 1),(6 176),(0 1),(10 28),(1 3),(1 3),(25 178),(3 1),(10 139),(1 1),(4 9)
2025-04-24 13:36,(0 0),(0 0),77.07,77.07,4,1,(3 1),(3 1),(65 6),(0 1),(5 176),(0 0),(16 23),(0 3),(0 3),(25 185),(3 1),(10 139),(1 1),(4 9)
2025-04-24 13:37,(0 0),(0 0),77.69,77.69,4,1,(3 1),(3 1),(65 6),(0 1),(5 176),(0 0),(16 23),(0 3),(0 3),(25 185),(3 1),(10 139),(1 1),(4 9)
2025-04-24 13:38,(0 0),(0 0),47.12,47.12,4,1,(6 1),(6 1),(66 5),(0 0),(6 176),(0 0),(14 4),(1 4),(1 4),(27 162),(4 1),(10 138),(2 1),(3 8)
2025-04-24 13:39,(0 0),(0 0),20.89,20.89,4,1,(6 1),(6 1),(66 6),(0 0),(6 176),(0 0),(14 4),(1 4),(1 4),(27 162),(4 1),(10 138),(2 1),(3 8)
2025-04-24 13:40,(0 0),(0 0),52.68,52.68,4,1,(7 1),(7 1),(66 6),(0 0),(5 175),(0 0),(12 9),(2 3),(2 3),(26 171),(3 1),(10 139),(1 1),(3 8)
2025-04-24 13:41,(0 0),(0 0),44.80,44.80,4,1,(7 1),(7 1),(66 5),(0 0),(5 175),(0 0),(12 9),(2 3),(2 3),(26 171),(3 1),(10 139),(1 1),(3 8)
2025-04-24 13:42,(0 0),(0 0),28.55,28.55,4,1,(9 1),(9 1),(69 5),(0 0),(5 167),(0 0),(11 3),(1 4),(1 4),(26 149),(4 1),(10 138),(1 0),(3 8)
2025-04-24 13:43,(0 0),(0 0),32.82,32.82,4,1,(9 1),(9 1),(69 5),(1 0),(5 167),(0 0),(11 3),(1 4),(1 4),(26 149),(4 1),(10 138),(1 0),(3 8)
2025-04-24 13:44,(0 0),(0 0),40.50,40.50,4,1,(9 1),(9 1),(66 5),(1 0),(5 167),(0 0),(8 2),(1 4),(1 4),(28 148),(3 1),(10 139),(1 0),(2 9)
2025-04-24 13:45,(0 0),(0 0),57.35,57.35,4,1,(9 1),(9 1),(66 5),(1 0),(5 167),(0 0),(9 2),(1 4),(1 4),(28 148),(3 1),(10 139),(1 0),(2 9)
2025-04-24 13:46,(0 0),(0 0),51.75,51.75,4,1,(5 1),(5 1),(68 5),(2 1),(5 171),(0 0),(20 4),(2 1),(2 1),(31 140),(4 1),(10 139),(0 0),(6 26)
2025-04-24 13:47,(0 0),(0 0),42.79,42.79,4,1,(5 1),(5 1),(68 5),(2 1),(5 171),(0 0),(20 4),(2 1),(2 1),(31 140),(4 1),(10 139),(0 0),(6 26)
2025-04-24 13:48,(0 0),(0 0),30.19,30.19,4,1,(12 1),(12 1),(67 5),(2 0),(6 171),(0 0),(15 0),(4 1),(4 1),(31 120),(4 1),(10 139),(0 0),(7 14)
2025-04-24 13:49,(0 0),(0 0),31.33,31.33,4,1,(12 1),(12 1),(67 5),(2 0),(6 171),(0 0),(15 0),(4 1),(4 1),(31 120),(4 1),(10 139),(0 0),(7 14)
2025-04-24 13:50,(0 0),(0 0),18.87,18.87,4,1,(12 1),(12 1),(67 4),(2 1),(6 169),(1 0),(15 1),(3 1),(3 1),(32 116),(4 1),(10 139),(0 0),(6 14)
2025-04-24 13:51,(0 0),(0 0),10.00,-33.09,3,1,(12 1),(12 1),(67 4),(2 1),(7 169),(1 0),(15 1),(3 1),(3 1),(32 116),(4 1),(10 139),(0 0),(6 14)
2025-04-24 13:52,(0 0),(0 0),-9.44,-52.53,3,1,(10 1),(10 1),(70 4),(1 0),(7 175),(1 1),(14 1),(3 1),(3 1),(32 115),(3 1),(10 138),(0 0),(6 12)
2025-04-24 13:53,(0 0),(0 0),-23.55,-66.64,3,1,(10 1),(10 1),(70 4),(0 0),(7 175),(1 1),(14 1),(3 1),(3 1),(32 115),(3 1),(10 138),(0 0),(6 12)
2025-04-24 13:54,(0 0),(0 0),-22.69,-65.78,3,1,(8 1),(8 1),(67 4),(0 0),(7 174),(2 1),(13 2),(2 1),(2 1),(29 124),(2 1),(10 138),(1 0),(5 16)
2025-04-24 13:55,(0 0),(0 0),-32.24,-68.47,2,1,(8 1),(8 1),(67 4),(0 0),(6 174),(2 1),(14 2),(2 1),(2 1),(29 124),(2 1),(10 138),(1 0),(5 16)
2025-04-24 13:56,(0 0),(0 0),-31.38,-67.61,2,1,(6 1),(6 1),(65 4),(0 0),(6 173),(1 0),(19 2),(3 1),(3 1),(29 131),(2 1),(9 138),(1 0),(4 17)
2025-04-24 13:57,(0 0),(0 0),-41.41,-77.64,2,1,(6 1),(6 1),(65 4),(0 0),(6 173),(1 0),(18 2),(3 1),(3 1),(29 131),(2 1),(9 138),(1 0),(4 17)
2025-04-24 13:58,(0 0),(0 0),-12.44,-91.33,1,1,(5 1),(5 1),(69 4),(0 0),(6 174),(1 1),(12 1),(2 1),(2 1),(27 143),(2 1),(10 138),(1 0),(4 23)
2025-04-24 13:59,(0 0),(0 0),-8.69,-87.58,1,1,(5 1),(5 1),(68 4),(0 0),(6 174),(1 1),(12 1),(2 1),(2 1),(27 143),(2 1),(10 138),(1 0),(4 23)
2025-04-24 14:00,(0 0),(0 0),-5.26,-84.15,1,1,(3 1),(3 1),(70 4),(0 0),(6 175),(1 1),(12 1),(2 1),(2 1),(26 148),(2 1),(10 138),(1 0),(4 24)
2025-04-24 14:01,(0 0),(0 0),-8.58,-87.47,1,1,(3 1),(3 1),(71 4),(0 0),(6 175),(1 1),(12 1),(2 1),(2 1),(26 148),(2 1),(10 138),(1 0),(4 24)
2025-04-24 14:02,(0 0),(0 0),-6.54,-85.43,1,1,(7 2),(7 2),(68 5),(0 1),(6 177),(0 1),(14 7),(3 1),(3 1),(37 128),(1 1),(10 139),(1 0),(5 26)
2025-04-24 14:03,(0 0),(0 0),-10.75,-89.64,1,1,(7 2),(7 2),(68 5),(0 1),(6 177),(0 1),(14 7),(3 1),(3 1),(37 128),(1 1),(10 139),(1 0),(5 26)
2025-04-24 14:04,(0 0),(0 0),-9.81,-88.70,1,1,(7 2),(7 2),(72 3),(0 1),(6 176),(0 1),(12 5),(4 1),(4 1),(36 116),(1 1),(10 138),(1 0),(5 18)
2025-04-24 14:05,(0 0),(0 0),-6.46,-85.35,1,1,(7 2),(7 2),(72 3),(0 1),(6 176),(0 1),(12 5),(4 1),(4 1),(36 116),(1 1),(10 138),(1 0),(5 18)
2025-04-24 14:06,(0 0),(0 0),-11.11,-90.00,1,1,(10 2),(10 2),(70 4),(1 1),(8 182),(0 1),(19 8),(4 1),(4 1),(39 101),(1 1),(10 138),(1 0),(5 12)
2025-04-24 14:07,(0 0),(0 0),-9.86,-88.74,1,1,(10 2),(10 2),(70 4),(1 1),(8 182),(0 1),(19 8),(4 1),(4 1),(39 101),(1 1),(10 138),(1 0),(5 12)
2025-04-24 14:08,(0 0),(0 0),-13.83,-92.71,1,1,(7 2),(7 2),(70 4),(1 1),(8 182),(0 1),(17 7),(3 0),(3 0),(37 117),(1 1),(11 140),(1 1),(5 16)
2025-04-24 14:09,(0 0),(0 0),-12.65,-91.54,1,1,(7 2),(7 2),(70 4),(1 1),(8 182),(0 1),(17 7),(3 0),(3 0),(37 117),(1 1),(11 140),(1 1),(5 16)
2025-04-24 14:10,(0 0),(0 0),-8.95,-87.84,2,1,(3 4),(3 4),(57 2),(1 1),(8 193),(0 1),(15 14),(1 5),(1 5),(34 147),(1 1),(12 141),(1 1),(5 24)
2025-04-24 14:11,(0 0),(0 0),-5.43,-84.32,2,1,(3 4),(3 4),(56 2),(1 1),(8 193),(0 1),(16 14),(1 5),(1 5),(34 147),(1 1),(12 141),(1 1),(5 24)
2025-04-24 14:12,(0 0),(0 0),-8.46,-87.35,2,1,(6 3),(6 3),(63 1),(1 1),(8 193),(0 1),(15 10),(2 5),(2 5),(36 142),(2 1),(12 138),(1 1),(5 19)
2025-04-24 14:13,(0 0),(0 0),-18.73,-97.62,2,1,(6 3),(6 3),(63 1),(1 1),(8 193),(0 1),(14 10),(2 5),(2 5),(36 142),(2 1),(12 138),(1 1),(5 19)
2025-04-24 14:14,(0 0),(0 0),-13.87,-92.76,2,1,(6 3),(6 3),(63 1),(1 0),(8 191),(0 1),(14 8),(1 1),(1 1),(35 125),(2 1),(12 138),(1 1),(6 20)
2025-04-24 14:15,(0 0),(0 0),-39.41,-118.29,2,1,(6 3),(6 3),(63 1),(1 0),(8 191),(0 1),(14 8),(1 1),(1 1),(35 125),(2 1),(12 138),(1 1),(6 20)
2025-04-24 14:16,(0 0),(0 0),-40.94,-119.83,2,1,(3 3),(3 3),(42 3),(1 0),(8 194),(0 0),(15 19),(1 3),(1 3),(36 152),(0 1),(11 138),(1 1),(5 35)
2025-04-24 14:17,(0 0),(0 0),-32.15,-111.04,2,1,(3 3),(3 3),(41 3),(1 0),(8 194),(0 0),(15 19),(1 3),(1 3),(36 152),(0 1),(11 138),(1 1),(5 35)
2025-04-24 14:18,(0 0),(0 0),-32.78,-111.67,2,1,(2 5),(2 5),(35 3),(1 0),(5 209),(0 1),(3 24),(0 9),(0 9),(35 178),(0 1),(11 138),(1 1),(3 30)
2025-04-24 14:19,(0 0),(0 0),-29.53,-108.42,2,1,(2 5),(2 5),(35 3),(1 0),(5 209),(0 1),(3 24),(0 9),(0 9),(35 178),(0 1),(11 138),(1 1),(3 30)
2025-04-24 14:20,(0 0),(0 0),-20.45,-99.34,2,1,(3 3),(3 3),(33 3),(1 1),(6 194),(0 1),(12 21),(1 3),(1 3),(37 154),(0 1),(12 138),(1 1),(4 32)
2025-04-24 14:21,(0 0),(0 0),-36.21,-115.10,2,1,(3 3),(3 3),(33 3),(1 1),(6 194),(0 1),(13 21),(1 3),(1 3),(37 154),(0 1),(12 138),(1 1),(4 32)
2025-04-24 14:22,(0 0),(0 0),-38.64,-117.53,2,1,(4 4),(4 4),(35 3),(1 1),(6 193),(0 1),(14 16),(1 5),(1 5),(36 163),(0 1),(11 138),(1 1),(4 32)
2025-04-24 14:23,(0 0),(0 0),-44.75,-123.64,2,1,(5 4),(5 4),(35 3),(1 1),(6 193),(0 1),(13 16),(1 5),(1 5),(36 163),(0 1),(11 138),(1 1),(4 32)
2025-04-24 14:24,(0 0),(0 0),-41.01,-119.89,2,1,(7 4),(7 4),(37 3),(1 1),(8 182),(0 1),(12 8),(3 1),(3 1),(38 99),(0 1),(11 138),(1 1),(4 17)
2025-04-24 14:25,(0 0),(0 0),-41.80,-120.68,2,1,(7 4),(7 4),(38 3),(1 1),(8 175),(0 1),(13 4),(3 1),(3 1),(38 99),(0 1),(11 138),(1 1),(4 17)
2025-04-24 14:26,(0 0),(0 0),-50.87,-129.75,2,1,(9 0),(9 0),(34 3),(1 1),(7 169),(0 1),(16 6),(2 1),(2 1),(40 86),(0 1),(12 138),(1 1),(4 12)
2025-04-24 14:27,(0 0),(0 0),-54.63,-133.51,2,1,(9 0),(9 0),(34 3),(1 1),(7 169),(0 1),(16 6),(2 1),(2 1),(40 86),(0 1),(12 138),(1 1),(4 12)
2025-04-24 14:28,(0 0),(0 0),-58.13,-137.02,2,1,(10 1),(10 1),(34 3),(1 1),(7 167),(0 0),(13 6),(2 1),(2 1),(39 78),(0 1),(12 137),(1 1),(4 10)
2025-04-24 14:29,(0 0),(0 0),-61.53,-140.41,2,1,(10 1),(10 1),(34 3),(1 1),(7 167),(0 0),(13 6),(2 1),(2 1),(39 78),(0 1),(12 137),(1 1),(4 10)
