SLstatus,same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
-1,0_0,0_0,1,1, fk7,04-14 10:40:00,04-14 10:40:10,none,none,none,none,0.00,04-14 11:49:45,69,N579862753,PUMPUSDT,long,oppo,,-22.01,-0.0155,19.37,0.0277,-24.70,-0.0353,0.70,0,24.34,-23.16,0,0,0,0,1,0
0,0_0,0_0,1,1, fk7,04-14 10:38:44,04-14 10:39:44,none,none,none,none,0.00,04-14 13:05:31,145,N711873562,OMUSDT,short,stopEarn,,31.10,0.0465,105.65,0.1778,-48.60,-0.0649,0.35,0,136.14,30.54,0,0,0,0,1,0
-1,0_0,0_0,1,1, fk7,04-14 10:38:44,04-14 10:39:44,none,none,none,none,0.00,04-14 13:42:09,182,N965164791,ARCUSDT,long,oppo,,-21.68,-0.0152,12.00,0.0171,-24.76,-0.0354,0.70,0,87.65,7.72,0,0,0,0,2,0
0,0_0,0_0,1,1, fk7,04-14 12:30:54,04-14 12:31:04,none,none,none,none,0.00,04-14 13:55:18,84,N541918188,STOUSDT,long,stopEarn,,-5.96,-0.0085,36.30,0.0519,-21.13,-0.0302,0.35,0,92.03,24.02,0,0,0,0,2,0
0,0_0,0_0,1,0, fk7,04-14 11:02:18,04-14 11:02:28,none,none,none,none,0.00,04-14 13:55:23,172,N140659538,VIDTUSDT,long,stopEarn,,28.67,0.0410,69.28,0.0990,-11.95,-0.0171,0.35,0,92.05,52.13,0,0,0,0,2,0
-1,0_0,0_0,0,0, fk7,04-14 10:40:00,04-14 11:49:50,none,none,none,none,0.00,04-14 15:06:41,196,N579862753,PUMPUSDT,short,stopEarn,,16.85,0.0122,51.85,0.0385,-28.91,-0.0353,0.70,0,181.36,44.70,0,0,0,0,2,0
0,0_0,0_0,0,1, fk7,04-14 14:14:43,04-14 14:14:53,none,none,none,none,0.00,04-14 15:45:09,90,N670066772,BRUSDT,short,stopEarn,,-4.06,-0.0058,41.97,0.0638,-5.42,-0.0077,0.35,0,141.89,40.08,0,0,0,0,2,0
-1,0_0,0_0,1,0, fk7,04-14 10:38:44,04-14 13:42:14,none,none,none,none,0.00,04-14 16:25:24,163,N965164791,ARCUSDT,short,stopEarn,,-11.64,-0.0082,38.40,0.0282,-22.50,-0.0354,0.70,0,168.69,4.50,0,0,0,0,2,0
1,0_0,0_0,1,1, fk7,04-14 15:28:58,04-14 15:29:08,none,none,none,none,0.00,04-14 16:52:03,82,N386990976,VIDTUSDT,short,oppo,,-29.60,-0.0212,51.40,0.0792,-46.50,-0.0623,0.70,0,118.50,-26.19,0,0,0,0,3,0
0,0_0,0_0,2,0, fk7,04-14 12:38:47,04-14 12:38:57,none,none,none,none,0.00,04-14 17:55:22,316,N513073229,AVAAIUSDT,long,stopEarn,,75.12,0.1073,104.11,0.1487,-2.75,-0.0039,0.35,0,109.05,79.06,0,0,0,0,3,0
1,0_0,0_0,0,1, fk7,04-14 15:03:03,04-14 15:03:13,none,none,none,none,0.00,04-14 18:28:48,205,N104741198,OMUSDT,short,oppo,,-42.76,-0.0303,63.97,0.1006,-42.76,-0.0550,0.70,0,30.81,35.21,0,0,0,0,4,0
1,0_0,0_0,1,1, fk7,04-14 17:42:51,04-14 17:43:01,none,none,none,none,0.00,04-14 19:28:36,105,N140788945,FHEUSDT,short,oppo,,-57.15,-0.0408,9.54,0.0138,-58.18,-0.0767,0.70,0,28.25,20.84,0,0,0,0,5,0
1,0_0,0_0,1,0, fk7,04-14 15:03:03,04-14 18:28:53,none,none,none,none,0.00,04-14 19:40:36,71,N104741198,OMUSDT,long,stopEarn,,-69.71,-0.0498,36.74,0.0262,-101.40,-0.0724,0.70,0,127.28,-35.61,0,0,0,0,5,0
-1,0_0,0_0,2,0, fk7,04-14 18:52:54,04-14 18:53:04,none,none,none,none,0.00,04-14 20:24:10,91,N298584339,STOUSDT,long,oppo,,-41.65,-0.0289,37.99,0.0543,-48.26,-0.0689,0.70,0,71.98,-78.43,0,0,0,0,6,0
1,0_0,0_0,2,0, fk7,04-14 17:42:51,04-14 19:28:41,none,none,none,none,0.00,04-14 20:40:59,72,N140788945,FHEUSDT,long,stopEarn,,33.25,0.0238,113.11,0.0808,-17.48,-0.0767,0.70,0,101.72,-61.70,0,0,0,0,6,0
