same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
0_0,0_0,3,0, fk9,04-08 00:02:00,04-08 00:02:10,none,none,none,none,0.00,04-08 04:30:23,268,N713723364,DUSDT,long,stopEarn,,38.10,0.0544,102.78,0.1468,-18.96,-0.0271,0.35,0,147.29,37.54,0,0,0,0,0,0
0_0,0_0,4,0, fk9,04-08 00:06:03,04-08 00:06:13,none,none,none,none,0.00,04-08 05:35:04,328,N473040836,HBARUSDT,long,stopEarn,,25.23,0.0360,40.24,0.0575,-5.04,-0.0072,0.35,0,99.05,62.21,0,0,0,0,0,0
0_0,0_0,9,0, fk9,04-08 00:15:56,04-08 00:16:06,none,none,none,none,0.00,04-08 07:40:10,444,N858157436,PLUMEUSDT,long,stopEarn,,30.94,0.0442,41.26,0.0589,-11.72,-0.0167,0.35,0,110.84,92.59,0,0,0,0,0,0
0_0,0_0,8,0, fk9,04-08 00:02:15,04-08 00:02:25,none,none,none,none,0.00,04-08 07:52:38,470,N554378821,MKRUSDT,long,stopEarn,,33.38,0.0477,43.70,0.0624,-11.62,-0.0166,0.35,0,117.24,125.41,0,0,0,0,0,0
0_0,0_0,9,0, fk9,04-08 00:15:56,04-08 00:16:06,none,none,none,none,0.00,04-08 11:38:11,682,N858386224,PIXELUSDT,long,stopEarn,,13.75,0.0196,26.19,0.0374,-18.01,-0.0257,0.35,0,198.64,138.60,0,0,0,0,0,0
0_0,0_0,8,0, fk9,04-08 00:02:15,04-08 00:02:25,none,none,none,none,0.00,04-08 11:41:32,699,N685694266,AAVEUSDT,long,stopEarn,,15.16,0.0217,28.82,0.0412,-13.34,-0.0191,0.35,0,185.66,153.21,0,0,0,0,0,0
0_0,0_0,3,0, fk9,04-08 00:02:00,04-08 00:02:10,none,none,none,none,0.00,04-08 11:44:23,702,N551578666,TROYUSDT,long,stopEarn,,14.87,0.0212,31.61,0.0452,-13.94,-0.0199,0.35,0,173.44,167.52,0,0,0,0,0,0
0_0,0_0,8,0, fk9,04-08 00:02:15,04-08 00:02:25,none,none,none,none,0.00,04-08 11:50:43,708,N885308562,ZENUSDT,long,stopEarn,,16.87,0.0241,31.67,0.0452,-13.95,-0.0199,0.35,0,164.37,183.84,0,0,0,0,0,0
0_0,0_0,3,0, fk9,04-08 00:02:00,04-08 00:02:10,none,none,none,none,0.00,04-08 12:15:23,733,N665789602,MUBARAKUSDT,long,stopLoss,,-35.00,-0.0500,22.75,0.0325,-35.00,-0.0500,0.35,0,164.14,148.28,0,1,0,0,0,0
0_0,0_0,1,0, fk9,04-07 23:32:02,04-07 23:32:12,none,none,none,none,0.00,04-08 14:33:49,901,N564613914,BROCCOLI714USDT,long,stopLoss,,-35.07,-0.0501,29.27,0.0418,-35.07,-0.0501,0.35,0,74.41,112.64,0,2,0,0,0,0
0_0,0_0,4,0, fk9,04-08 00:09:51,04-08 00:10:01,none,none,none,none,0.00,04-08 15:08:47,898,N352545972,WALUSDT,long,stopLoss,,-35.15,-0.0502,15.33,0.0219,-35.15,-0.0502,0.35,0,49.27,76.93,0,3,0,0,0,0
0_0,0_0,1,0, fk9,04-08 13:00:22,04-08 13:00:32,none,none,none,none,0.00,04-08 16:40:47,220,N925674556,ALCHUSDT,long,stopLoss,,-35.09,-0.0501,22.71,0.0324,-35.09,-0.0501,0.35,0,8.17,41.28,0,4,0,0,0,0
